date,wssPrecipTotal,precipQF
"2018-02-01",0.000,1
"2018-02-02",0.000,1
"2018-02-03",0.000,1
"2018-02-04",0.000,1
"2018-02-05",0.000,1
"2018-02-06",0.120,1
"2018-02-07",11.190,1
"2018-02-08",1.320,1
"2018-02-09",3.240,1
"2018-02-10",5.070,0
"2018-02-11",10.380,0
"2018-02-12",1.950,0
"2018-02-13",3.310,1
"2018-02-14",2.400,1
"2018-02-15",2.390,0
"2018-02-16",3.220,0
"2018-02-17",9.950,1
"2018-02-18",1.970,1
"2018-02-19",3.050,0
"2018-02-20",1.660,0
"2018-02-21",3.060,0
"2018-02-22",0.940,0
"2018-02-23",3.240,0
"2018-02-24",4.920,0
"2018-02-25",11.220,0
"2018-02-26",1.610,0
"2018-02-27",1.570,0
"2018-02-28",1.710,0
