date,wssPrecipTotal,precipQF
"2019-05-01",0.860,0
"2019-05-02",2.740,0
"2019-05-03",4.070,0
"2019-05-04",2.590,0
"2019-05-05",1.260,0
"2019-05-06",1.380,1
"2019-05-07",3.200,1
"2019-05-08",1.250,1
"2019-05-09",2.310,1
"2019-05-10",0.860,0
"2019-05-11",1.480,1
"2019-05-12",4.660,0
"2019-05-13",2.740,0
"2019-05-14",3.910,0
"2019-05-15",1.610,1
"2019-05-16",2.350,1
"2019-05-17",2.280,0
"2019-05-18",1.000,1
"2019-05-19",9.380,0
"2019-05-20",2.300,0
"2019-05-21",1.770,1
"2019-05-22",0.830,1
"2019-05-23",2.090,1
"2019-05-24",3.350,1
"2019-05-25",1.120,0
"2019-05-26",1.580,0
"2019-05-27",1.820,0
"2019-05-28",5.390,0
"2019-05-29",1.020,0
"2019-05-30",1.190,0
"2019-05-31",2.660,1
