date,wssPrecipTotal,precipQF
"2019-02-01",0.420,0
"2019-02-02",0.630,0
"2019-02-03",0.490,0
"2019-02-04",0.490,0
"2019-02-05",0.600,0
"2019-02-06",1.110,0
"2019-02-07",3.880,0
"2019-02-08",3.320,0
"2019-02-09",0.830,0
"2019-02-10",0.990,0
"2019-02-11",0.690,0
"2019-02-12",7.010,0
"2019-02-13",11.390,0
"2019-02-14",0.720,0
"2019-02-15",1.000,0
"2019-02-16",0.740,0
"2019-02-17",0.550,0
"2019-02-18",1.670,0
"2019-02-19",0.540,0
"2019-02-20",0.470,0
"2019-02-21",6.100,0
"2019-02-22",0.720,0
"2019-02-23",0.350,0
"2019-02-24",3.720,0
"2019-02-25",0.470,0
"2019-02-26",0.380,0
"2019-02-27",0.420,0
"2019-02-28",2.190,0
