HOR.VER,start,end,referenceStart,referenceEnd,xOffset,yOffset,zOffset,pitch,roll,azimuth,referenceLatitude,referenceLongitude,referenceElevation
000.010,2010-01-01 00:00:00.0,,2010-01-01 00:00:00.0,,6.23,2.36,0.18,0.00,0.00,270.00,42.536910,-72.172650,348.13
000.020,2010-01-01 00:00:00.0,,2010-01-01 00:00:00.0,,6.23,2.36,5.26,0.00,0.00,270.00,42.536910,-72.172650,348.13
000.025,2010-01-01 00:00:00.0,,2010-01-01 00:00:00.0,,-0.03,1.71,5.65,0.00,0.00,0.00,42.536910,-72.172650,348.13
000.030,2010-01-01 00:00:00.0,,2010-01-01 00:00:00.0,,6.22,2.36,16.23,0.00,0.00,270.00,42.536910,-72.172650,348.13
000.040,2010-01-01 00:00:00.0,,2010-01-01 00:00:00.0,,6.22,2.36,22.49,0.00,0.00,270.00,42.536910,-72.172650,348.13
000.050,2010-01-01 00:00:00.0,,2010-01-01 00:00:00.0,,6.23,2.36,29.58,0.00,0.00,270.00,42.536910,-72.172650,348.13
000.060,2010-01-01 00:00:00.0,,2010-01-01 00:00:00.0,,-0.99,-0.54,39.25,0.00,0.00,0.00,42.536910,-72.172650,348.13
900.000,2010-01-01 00:00:00.0,,2010-01-01 00:00:00.0,,0.00,0.00,0.00,0.00,0.00,0.00,42.533142,-72.189889,338.50
