date,wssPrecipTotal,precipQF
"2019-06-01",1.790,0
"2019-06-02",2.440,0
"2019-06-03",2.750,0
"2019-06-04",10.620,0
"2019-06-05",4.970,0
"2019-06-06",1.880,0
"2019-06-07",5.290,0
"2019-06-08",9.280,0
"2019-06-09",8.380,0
"2019-06-10",2.560,0
"2019-06-11",5.930,0
"2019-06-12",15.050,0
"2019-06-13",12.660,0
"2019-06-14",1.950,0
"2019-06-15",2.380,0
"2019-06-16",3.030,0
"2019-06-17",2.230,0
"2019-06-18",3.860,0
"2019-06-19",22.270,0
"2019-06-20",1.240,1
"2019-06-21",0.330,0
"2019-06-22",0.450,0
"2019-06-23",0.480,0
"2019-06-24",0.420,0
"2019-06-25",0.450,0
"2019-06-26",0.760,0
"2019-06-27",0.630,0
"2019-06-28",4.320,0
"2019-06-29",28.130,0
"2019-06-30",0.210,0
