date,wssTempTripleMean,wssTempTripleMinimum,wssTempTripleMaximum,wssTempTripleVariance,wssTempTripleStdErMean,wssTempTripleNumPts,tempTripleQF
"2019-06-01",27.5807,23.7349,34.3806,9.4454,0.0105,85170.0,0
"2019-06-02",27.6853,23.5112,32.8171,8.2220,0.0101,81030.0,0
"2019-06-03",28.6268,23.8965,35.4061,14.6499,0.0130,86100.0,0
"2019-06-04",28.2608,23.8545,35.7881,11.2062,0.0117,81526.0,0
"2019-06-05",26.5446,23.3668,33.1800,9.0934,0.0103,84990.0,0
"2019-06-06",26.7295,23.1966,31.7724,5.7700,0.0082,86280.0,0
"2019-06-07",25.9676,23.8905,30.4880,2.2336,0.0051,84990.0,0
"2019-06-08",25.4754,22.9550,31.0905,6.1254,0.0088,79380.0,0
"2019-06-09",23.4256,21.5678,25.5429,0.8223,0.0031,84270.0,0
"2019-06-10",23.7300,21.1292,30.1073,7.1615,0.0094,80760.0,0
"2019-06-11",25.4978,22.5364,30.6445,4.0224,0.0069,85260.0,0
"2019-06-12",24.7737,21.6830,28.0959,2.2926,0.0054,79380.0,0
"2019-06-13",23.1653,20.7368,26.3180,2.1576,0.0050,84739.0,0
"2019-06-14",24.9134,21.7348,28.7252,4.9772,0.0078,82860.0,0
"2019-06-15",25.3438,21.4867,30.4693,8.1915,0.0098,84780.0,0
"2019-06-16",25.6218,22.7262,30.7755,4.5353,0.0073,85410.0,0
"2019-06-18",24.8824,22.4308,29.2073,3.2120,0.0061,85890.0,0
"2019-06-19",24.6650,22.1335,29.7804,2.3821,0.0055,79890.0,0
"2019-06-20",25.8132,22.3703,30.9311,7.0682,0.0098,73770.0,1
"2019-06-21",28.3797,25.0138,33.5308,7.4523,0.0095,82530.0,0
"2019-06-22",28.3504,24.9982,33.2678,6.9409,0.0090,84990.0,0
"2019-06-23",28.5257,23.8988,33.9956,9.3388,0.0104,86370.0,0
"2019-06-24",28.7031,24.1373,33.9850,9.3364,0.0105,85380.0,0
"2019-06-25",28.8276,25.0727,34.7262,9.2323,0.0105,84450.0,0
"2019-06-26",29.3463,24.5677,34.2420,7.3183,0.0092,86010.0,0
"2019-06-27",27.9184,23.2389,33.2029,7.3360,0.0094,83220.0,0
"2019-06-28",26.5649,22.0469,32.7561,7.7338,0.0096,84030.0,0
"2019-06-29",25.6906,22.2275,31.7072,4.1555,0.0071,81990.0,0
"2019-06-30",26.0860,22.4190,32.3340,11.2791,0.0114,86400.0,0
