date,wssPrecipTotal,precipQF
"2018-08-01",0.580,0
"2018-08-02",1.960,0
"2018-08-03",1.480,0
"2018-08-04",1.320,0
"2018-08-05",1.330,0
"2018-08-06",1.240,0
"2018-08-07",2.690,0
"2018-08-08",1.570,0
"2018-08-09",1.930,0
"2018-08-10",1.120,0
"2018-08-11",1.530,0
"2018-08-12",4.700,0
"2018-08-13",1.410,0
"2018-08-14",2.640,0
"2018-08-15",2.820,0
"2018-08-16",6.440,1
"2018-08-17",3.430,0
"2018-08-18",1.810,0
"2018-08-19",1.180,0
"2018-08-20",19.910,0
"2018-08-21",3.700,0
"2018-08-22",1.920,0
"2018-08-23",1.700,0
"2018-08-24",9.230,0
"2018-08-25",1.890,0
"2018-08-26",3.740,0
"2018-08-27",1.300,0
"2018-08-28",1.580,0
"2018-08-29",7.570,0
"2018-08-30",7.640,0
"2018-08-31",1.880,0
