"uid","namedLocation","domainID","siteID","plotID","setDate","collectDate","sortDate","sampleID","sampleCode","subsampleID","subsampleCode","totalWeight","subsampleWeight","bycatchWeight","sampleCondition","remarks","sortedBy","laboratoryName"
"931be192-5fcc-40ca-acb2-35d7e899efa0","HARV_073.mosquitoPoint.mos","D01","HARV","HARV_073","2017-04-11T20:44Z","2017-04-12T12:30Z","2017-05-16","HARV_073.20170412.0830",NA,"HARV_073.20170412.0830.S.01",NA,0.004,0.004,0,"No known compromise",NA,"IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"5f12d966-9ed6-4f43-badf-d3403c5596a2","HARV_075.mosquitoPoint.mos","D01","HARV","HARV_075","2017-04-11T21:12Z","2017-04-12T12:53Z","2017-05-16","HARV_075.20170412.0853",NA,"HARV_075.20170412.0853.S.01",NA,0.002,0.002,0,"No known compromise",NA,"IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"7672e05d-3808-47f9-a6f3-cec70017a682","HARV_079.mosquitoPoint.mos","D01","HARV","HARV_079","2017-04-11T21:20Z","2017-04-12T13:01Z","2017-05-16","HARV_079.20170412.0901",NA,"HARV_079.20170412.0901.S.01",NA,0.002,0.002,0,"No known compromise",NA,"IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"4cfd7f5c-cea2-4534-955b-6d6d1b35dff3","HARV_082.mosquitoPoint.mos","D01","HARV","HARV_082","2017-05-02T20:58Z","2017-05-03T10:58Z","2017-06-09","HARV_082.20170503.0658",NA,"HARV_082.20170503.0658.S.01",NA,0.004,0.004,0.004,"No known compromise","","IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"e86891cc-b8e0-4419-b059-e58da4b06369","HARV_074.mosquitoPoint.mos","D01","HARV","HARV_074","2017-05-02T21:24Z","2017-05-03T11:34Z","2017-06-09","HARV_074.20170503.0734",NA,"HARV_074.20170503.0734.S.01",NA,0.002,0.002,0.002,"No known compromise","","IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"a221733b-2ab6-4b79-add0-e41628475bc3","HARV_076.mosquitoPoint.mos","D01","HARV","HARV_076","2017-05-02T22:20Z","2017-05-03T12:31Z","2017-06-09","HARV_076.20170503.0831",NA,"HARV_076.20170503.0831.S.01",NA,0.002,0.002,0,"No known compromise","","IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"9e27d839-d7bf-49f8-8d20-333f7c27e552","HARV_079.mosquitoPoint.mos","D01","HARV","HARV_079","2017-05-02T22:47Z","2017-05-03T13:04Z","2017-06-09","HARV_079.20170503.0904",NA,"HARV_079.20170503.0904.S.01",NA,0.002,0.002,0,"No known compromise","","IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"784b075b-6181-4e59-a76d-574aa1fae66d","HARV_075.mosquitoPoint.mos","D01","HARV","HARV_075","2017-05-02T22:56Z","2017-05-03T13:11Z","2017-06-09","HARV_075.20170503.0911",NA,"HARV_075.20170503.0911.S.01",NA,0.004,0.004,0,"No known compromise","","IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"78f708e0-6caa-4d81-a1b8-a6e08a02e970","HARV_082.mosquitoPoint.mos","D01","HARV","HARV_082","2017-05-03T11:00Z","2017-05-03T20:25Z","2017-06-09","HARV_082.20170503.1625",NA,"HARV_082.20170503.1625.S.01",NA,0.002,0.002,0.002,"No known compromise","","IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"f6493079-789a-4fa8-996f-74e061404649","HARV_079.mosquitoPoint.mos","D01","HARV","HARV_079","2017-05-03T13:05Z","2017-05-03T21:54Z","2017-06-09","HARV_079.20170503.1754",NA,"HARV_079.20170503.1754.S.01",NA,0.002,0.002,0,"No known compromise","","IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
