"uid","namedLocation","domainID","siteID","plotID","setDate","collectDate","processingDate","individualID","geneticSampleID","wellCoordinates","laboratoryName"
"78c8c506-7193-4805-9f42-006ea4d94fd9","HARV_075.mosquitoPoint.mos","D01","HARV","HARV_075","2018-07-11T23:08Z","2018-07-12T12:35Z",NA,"MOS.D01.001359","MOS.D01.001359","E12","Kansas Biological Survey"
"621f13af-63fc-4725-9409-6c916829b34b","HARV_075.mosquitoPoint.mos","D01","HARV","HARV_075","2018-07-11T23:08Z","2018-07-12T12:35Z",NA,"MOS.D01.001360","MOS.D01.001360","F1","Kansas Biological Survey"
"64bc3787-f56e-4239-ab82-494e94741104","HARV_074.mosquitoPoint.mos","D01","HARV","HARV_074","2018-07-12T11:21Z","2018-07-12T21:30Z",NA,"MOS.D01.001207","MOS.D01.001207","A7","Kansas Biological Survey"
"e0aa1783-f057-46ff-b373-441459d052c1","HARV_077.mosquitoPoint.mos","D01","HARV","HARV_077","2018-07-12T11:31Z","2018-07-12T21:41Z",NA,"MOS.D01.001208","MOS.D01.001208","A8","Kansas Biological Survey"
"c48f8034-23f5-497b-8eee-38b6119de81e","HARV_080.mosquitoPoint.mos","D01","HARV","HARV_080","2018-07-12T11:54Z","2018-07-12T22:08Z",NA,"MOS.D01.001302","MOS.D01.001302","A5","Kansas Biological Survey"
"11ef7111-4b1e-45fa-aa3f-3141995ac90b","HARV_075.mosquitoPoint.mos","D01","HARV","HARV_075","2018-07-12T12:35Z","2018-07-12T22:49Z",NA,"MOS.D01.001388","MOS.D01.001388","H4","Kansas Biological Survey"
"949bc5ef-af1c-4a23-9239-f8b98fd67f01","HARV_076.mosquitoPoint.mos","D01","HARV","HARV_076","2018-07-25T22:27Z","2018-07-26T11:52Z",NA,"MOS.D01.001327","MOS.D01.001327","C5","Kansas Biological Survey"
"6baa8ca2-a01e-41da-be66-c157ebfd2497","HARV_076.mosquitoPoint.mos","D01","HARV","HARV_076","2018-07-25T22:27Z","2018-07-26T11:52Z",NA,"MOS.D01.001335","MOS.D01.001335","D1","Kansas Biological Survey"
"a2c70eaf-8592-4a66-a1d4-df188e4578a1","HARV_076.mosquitoPoint.mos","D01","HARV","HARV_076","2018-07-25T22:27Z","2018-07-26T11:52Z",NA,"MOS.D01.001392","MOS.D01.001392","H7","Kansas Biological Survey"
"ff053005-f76f-425d-876e-717c04585110","HARV_080.mosquitoPoint.mos","D01","HARV","HARV_080","2018-07-26T11:41Z","2018-07-26T22:22Z",NA,"MOS.D01.001328","MOS.D01.001328","C6","Kansas Biological Survey"
"23a4f636-f505-46f9-89a4-a6df90da9109","HARV_082.mosquitoPoint.mos","D01","HARV","HARV_082","2018-08-08T20:22Z","2018-08-09T11:49Z",NA,"MOS.D01.001339","MOS.D01.001339","D4","Kansas Biological Survey"
"a0299a37-a662-450b-ab7e-4b9edba9d35d","HARV_074.mosquitoPoint.mos","D01","HARV","HARV_074","2018-08-08T20:55Z","2018-08-09T12:24Z",NA,"MOS.D01.001371","MOS.D01.001371","F12","Kansas Biological Survey"
