"domainID","siteID","horizontalPosition","verticalPosition","date","wssStaPresMean","wssStaPresMinimum","wssStaPresMaximum","wssStaPresVariance","wssStaPresStdErMean","wssStaPresNumPts","staPresQF","wssCorPres","corPresQF"
"D01","HARV","000","025","2017-01-01",97.26355,96.69342,98.38262,0.2665,0.00555,8646,0,NA,NA
"D01","HARV","000","025","2017-01-02",98.79145,98.37263,99.07228,0.02107,0.00156,8646,0,NA,NA
"D01","HARV","000","025","2017-01-03",97.73042,96.21365,98.76244,0.63942,0.00942,7206,0,NA,NA
"D01","HARV","000","025","2017-01-04",95.42246,95.21412,96.24364,0.04381,0.00225,8646,0,NA,NA
"D01","HARV","000","025","2017-01-05",96.35376,95.49399,96.88334,0.16592,0.00438,8646,0,NA,NA
"D01","HARV","000","025","2017-01-06",97.13863,96.84336,97.72294,0.04932,0.00239,8646,0,NA,NA
"D01","HARV","000","025","2017-01-07",97.95126,97.53303,98.25268,0.03934,0.00213,8646,0,NA,NA
"D01","HARV","000","025","2017-01-08",97.60031,97.33312,98.24269,0.04833,0.00236,8646,0,NA,NA
"D01","HARV","000","025","2017-01-09",98.94255,98.23269,99.27219,0.07932,0.00303,8646,0,NA,NA
"D01","HARV","000","025","2017-01-10",99.0399,98.55254,99.23221,0.03149,0.00191,8646,0,NA,NA
"D01","HARV","000","025","2017-01-11",97.96105,97.49305,98.57253,0.06704,0.00278,8646,0,NA,NA
"D01","HARV","000","025","2017-01-12",97.52184,97.09324,98.16273,0.12231,0.00376,8646,0,NA,NA
"D01","HARV","000","025","2017-01-13",97.99827,97.11323,99.03231,0.32817,0.00616,8646,0,NA,NA
"D01","HARV","000","025","2017-01-14",99.11013,98.37263,99.41212,0.10206,0.00344,8646,0,NA,NA
"D01","HARV","000","025","2017-01-15",98.11463,97.87287,98.37263,0.01747,0.00142,8646,0,NA,NA
"D01","HARV","000","025","2017-01-16",98.4013,98.13274,98.56254,0.02167,0.00158,8646,0,NA,NA
"D01","HARV","000","025","2017-01-17",97.92616,97.68295,98.13274,0.0122,0.00119,8646,0,NA,NA
"D01","HARV","000","025","2017-01-18",97.29007,97.09324,97.71295,0.02623,0.00174,8646,0,NA,NA
"D01","HARV","000","025","2017-01-19",97.23041,97.09324,97.41309,0.00611,0.00084,8646,0,NA,NA
"D01","HARV","000","025","2017-01-20",97.25165,97.04326,97.41309,0.01019,0.00109,8646,0,NA,NA
"D01","HARV","000","025","2017-01-21",96.76836,96.48352,97.07324,0.03343,0.00197,8646,0,NA,NA
"D01","HARV","000","025","2017-01-22",96.61633,96.44354,97.00328,0.01436,0.00129,8646,0,NA,NA
"D01","HARV","000","025","2017-01-23",97.0953,96.7434,97.34312,0.01953,0.0015,8646,0,NA,NA
"D01","HARV","000","025","2017-01-24",95.76902,95.06419,96.81337,0.2988,0.00588,8646,0,NA,NA
"D01","HARV","000","025","2017-01-25",95.51406,95.09417,95.98376,0.08553,0.00315,8646,0,NA,NA
"D01","HARV","000","025","2017-01-26",95.36997,94.8143,96.00375,0.15318,0.00421,8646,0,NA,NA
"D01","HARV","000","025","2017-01-27",95.37732,94.96423,95.62392,0.02751,0.00178,8646,0,NA,NA
"D01","HARV","000","025","2017-01-28",95.65188,95.43401,96.00375,0.03121,0.0019,8646,0,NA,NA
"D01","HARV","000","025","2017-01-29",96.07826,96.00375,96.24364,0.00277,0.00057,8645,0,NA,NA
"D01","HARV","000","025","2017-01-30",96.33995,96.24364,96.63346,0.00561,0.00081,8646,0,NA,NA
"D01","HARV","000","025","2017-01-31",96.81673,96.62346,97.00328,0.01808,0.00145,8646,0,NA,NA
"D01","HARV","000","025","2017-02-01",96.70235,96.55349,97.00328,0.01024,0.00111,8256,0,NA,NA
"D01","HARV","000","025","2017-02-02",97.17675,97.00328,97.43307,0.00697,9e-04,8646,0,NA,NA
"D01","HARV","000","025","2017-02-03",97.51884,97.30314,97.69295,0.01426,0.00128,8646,0,NA,NA
"D01","HARV","000","025","2017-02-04",97.73784,97.3831,98.0128,0.03277,0.00195,8646,0,NA,NA
"D01","HARV","000","025","2017-02-05",97.22043,96.34359,97.93283,0.31679,0.00605,8646,0,NA,NA
"D01","HARV","000","025","2017-02-06",97.04948,96.45354,97.54302,0.14492,0.00409,8646,0,NA,NA
"D01","HARV","000","025","2017-02-07",97.28256,96.77339,97.52303,0.04584,0.0023,8646,0,NA,NA
"D01","HARV","000","025","2017-02-08",96.12453,95.6739,96.82336,0.08688,0.00317,8646,0,NA,NA
"D01","HARV","000","025","2017-02-10",97.08856,96.05373,97.68295,0.17678,0.00452,8646,0,NA,NA
"D01","HARV","000","025","2017-02-11",97.29014,96.98329,97.66297,0.04343,0.00224,8637,0,NA,NA
"D01","HARV","000","025","2017-02-13",95.89997,95.50398,96.64345,0.09692,0.00335,8645,0,NA,NA
"D01","HARV","000","025","2017-02-14",96.71917,96.39357,96.93331,0.03243,0.00194,8646,0,NA,NA
"D01","HARV","000","025","2017-02-16",95.22161,94.89427,95.82383,0.06932,0.00283,8646,0,NA,NA
"D01","HARV","000","025","2017-02-17",96.1819,95.82383,96.55349,0.02798,0.0018,8646,0,NA,NA
"D01","HARV","000","025","2017-02-18",96.40449,95.88381,96.73341,0.08545,0.00314,8646,0,NA,NA
"D01","HARV","000","025","2017-02-19",96.24305,95.90379,96.84336,0.07018,0.00285,8646,0,NA,NA
"D01","HARV","000","025","2017-02-24",97.00287,96.75339,97.23317,0.01099,0.00113,8652,0,NA,NA
"D01","HARV","000","025","2017-02-25",96.61196,95.68389,96.98329,0.14754,0.00383,10070,0,NA,NA
"D01","HARV","000","025","2017-02-27",98.0392,97.46307,98.34264,0.0527,0.00247,8646,0,NA,NA
"D01","HARV","000","025","2017-02-28",98.36426,97.87287,98.60252,0.04817,0.00236,8645,0,NA,NA
"D01","HARV","000","025","2017-03-07",98.34087,97.67296,98.67248,0.09252,0.00327,8646,0,NA,NA
"D01","HARV","000","025","2017-03-11",96.98718,96.43354,97.33312,0.06372,0.00271,8646,0,NA,NA
"D01","HARV","000","025","2017-03-12",97.65832,97.31313,97.97282,0.016,0.00133,9006,0,NA,NA
"D01","HARV","000","025","2017-03-13",98.35425,97.95283,98.62251,0.0236,0.00165,8646,0,NA,NA
"D01","HARV","000","025","2017-03-15",95.13643,94.35451,95.82383,0.10887,0.00355,8646,0,NA,NA
"D01","HARV","000","025","2017-03-17",97.48738,97.04326,97.85288,0.03941,0.00213,8646,0,NA,NA
"D01","HARV","000","025","2017-03-21",96.86961,96.55349,97.1632,0.03066,0.00188,8646,0,NA,NA
"D01","HARV","000","025","2017-03-22",97.06064,96.5335,98.09276,0.21057,0.00494,8646,0,NA,NA
"D01","HARV","000","025","2017-03-24",98.33131,97.44307,98.96234,0.28142,0.00571,8646,0,NA,NA
"D01","HARV","000","025","2017-03-25",97.8926,97.42308,98.50256,0.11259,0.00361,8646,0,NA,NA
"D01","HARV","000","025","2017-03-26",98.75864,98.49257,98.97233,0.0166,0.00139,8646,0,NA,NA
"D01","HARV","000","025","2017-03-28",97.24475,97.05326,97.40309,0.00846,0.00099,8646,0,NA,NA
"D01","HARV","000","025","2017-03-31",97.62763,97.19319,97.87287,0.03565,0.00203,8646,0,NA,NA
"D01","HARV","000","025","2017-04-03",97.494,97.25316,97.71295,0.01685,0.0014,8646,0,NA,NA
