"domainID","siteID","horizontalPosition","verticalPosition","date","wssPrecipTotal","precipQF"
"D01","HARV","900","000","2017-06-26",1.08,0
"D01","HARV","900","000","2017-06-27",2.07,0
"D01","HARV","900","000","2017-06-28",0.61,0
"D01","HARV","900","000","2017-06-29",0.14,0
"D01","HARV","900","000","2017-06-30",14.09,0
"D01","HARV","900","000","2017-07-01",2.56,0
"D01","HARV","900","000","2017-07-02",0.31,0
"D01","HARV","900","000","2017-07-03",0.72,0
"D01","HARV","900","000","2017-07-04",0.42,0
"D01","HARV","900","000","2017-07-05",0.8,0
"D01","HARV","900","000","2017-07-08",3.4,0
"D01","HARV","900","000","2017-07-09",0.59,0
"D01","HARV","900","000","2017-07-10",0.41,0
"D01","HARV","900","000","2017-07-12",1.02,0
"D01","HARV","900","000","2017-07-13",1.15,0
"D01","HARV","900","000","2017-07-14",0.2,0
"D01","HARV","900","000","2017-07-17",0.42,0
"D01","HARV","900","000","2017-07-19",0.04,0
"D01","HARV","900","000","2017-07-22",0.09,0
"D01","HARV","900","000","2017-07-23",0.47,0
"D01","HARV","900","000","2017-07-26",0.9,0
"D01","HARV","900","000","2017-07-27",1.94,0
"D01","HARV","900","000","2017-07-28",0.43,0
"D01","HARV","900","000","2017-07-29",1.05,0
"D01","HARV","900","000","2017-07-30",0.59,0
"D01","HARV","900","000","2017-07-31",0.54,0
"D01","HARV","900","000","2017-08-01",0.62,0
"D01","HARV","900","000","2017-08-02",0.24,0
"D01","HARV","900","000","2017-08-03",0.45,0
"D01","HARV","900","000","2017-08-04",1.88,0
"D01","HARV","900","000","2017-08-05",21.83,0
"D01","HARV","900","000","2017-08-06",0.91,0
"D01","HARV","900","000","2017-08-07",0.6,0
"D01","HARV","900","000","2017-08-08",1.05,0
"D01","HARV","900","000","2017-08-09",0.94,0
"D01","HARV","900","000","2017-08-10",0.7,0
"D01","HARV","900","000","2017-08-11",0.52,0
"D01","HARV","900","000","2017-08-12",5.25,0
"D01","HARV","900","000","2017-08-13",7.68,0
"D01","HARV","900","000","2017-08-14",0.46,0
"D01","HARV","900","000","2017-08-15",3.81,0
"D01","HARV","900","000","2017-08-16",0.24,1
"D01","HARV","900","000","2017-08-17",0,1
"D01","HARV","900","000","2017-08-18",0,1
"D01","HARV","900","000","2017-08-19",0,1
"D01","HARV","900","000","2017-08-20",0,1
"D01","HARV","900","000","2017-08-21",0,1
"D01","HARV","900","000","2017-08-22",0,1
"D01","HARV","900","000","2017-08-23",0,1
"D01","HARV","900","000","2017-08-24",0,1
"D01","HARV","900","000","2017-08-25",0,1
"D01","HARV","900","000","2017-08-26",0,1
"D01","HARV","900","000","2017-08-27",0,1
"D01","HARV","900","000","2017-08-28",0,1
"D01","HARV","900","000","2017-08-29",0.02,1
"D01","HARV","900","000","2017-08-30",0.57,0
"D01","HARV","900","000","2017-08-31",0.94,0
"D01","HARV","900","000","2017-09-01",1.61,0
"D01","HARV","900","000","2017-09-02",0.72,0
"D01","HARV","900","000","2017-09-03",21.23,0
"D01","HARV","900","000","2017-09-04",1.17,0
"D01","HARV","900","000","2017-09-05",0.83,0
"D01","HARV","900","000","2017-09-06",21.54,0
"D01","HARV","900","000","2017-09-07",12.95,0
"D01","HARV","900","000","2017-09-08",1.44,0
"D01","HARV","900","000","2017-09-09",1.35,0
"D01","HARV","900","000","2017-09-10",1.03,0
"D01","HARV","900","000","2017-09-11",0.71,1
"D01","HARV","900","000","2017-09-12",0,1
"D01","HARV","900","000","2017-09-13",0,1
"D01","HARV","900","000","2017-09-14",0,1
"D01","HARV","900","000","2017-09-15",0,1
"D01","HARV","900","000","2017-09-16",0,1
"D01","HARV","900","000","2017-09-17",0,1
"D01","HARV","900","000","2017-09-18",0,1
"D01","HARV","900","000","2017-09-19",0,1
"D01","HARV","900","000","2017-09-20",0,1
"D01","HARV","900","000","2017-09-21",0,1
"D01","HARV","900","000","2017-09-22",0,1
"D01","HARV","900","000","2017-09-23",0,1
"D01","HARV","900","000","2017-09-24",0,1
"D01","HARV","900","000","2017-09-25",0,1
"D01","HARV","900","000","2017-09-26",0,1
"D01","HARV","900","000","2017-09-27",0.47,0
"D01","HARV","900","000","2017-09-28",0.63,0
"D01","HARV","900","000","2017-09-29",0.74,0
"D01","HARV","900","000","2017-09-30",1.44,0
"D01","HARV","900","000","2017-10-01",0.79,0
"D01","HARV","900","000","2017-10-02",0.83,0
"D01","HARV","900","000","2017-10-03",0.5,0
"D01","HARV","900","000","2017-10-04",0.59,0
"D01","HARV","900","000","2017-10-05",0.44,0
"D01","HARV","900","000","2017-10-06",0.61,0
"D01","HARV","900","000","2017-10-07",0.32,0
"D01","HARV","900","000","2017-10-08",10.76,0
"D01","HARV","900","000","2017-10-09",19.94,0
"D01","HARV","900","000","2017-10-10",1.64,0
"D01","HARV","900","000","2017-10-11",0.28,0
"D01","HARV","900","000","2017-10-12",1.16,0
"D01","HARV","900","000","2017-10-13",0.95,0
"D01","HARV","900","000","2017-10-14",0.29,0
"D01","HARV","900","000","2017-10-15",0.28,0
"D01","HARV","900","000","2017-10-16",2.48,0
"D01","HARV","900","000","2017-10-17",1.03,0
"D01","HARV","900","000","2017-10-18",1.28,0
"D01","HARV","900","000","2017-10-19",0.51,0
"D01","HARV","900","000","2017-10-20",0.93,0
"D01","HARV","900","000","2017-10-21",0.34,0
"D01","HARV","900","000","2017-10-22",0.47,0
"D01","HARV","900","000","2017-10-23",0.76,0
"D01","HARV","900","000","2017-10-24",12.35,0
"D01","HARV","900","000","2017-10-25",84.03,0
"D01","HARV","900","000","2017-10-26",31.5,1
"D01","HARV","900","000","2017-10-27",1.28,1
"D01","HARV","900","000","2017-10-28",1.61,1
"D01","HARV","900","000","2017-10-29",14.76,0
