date,wssStaPresMean,wssStaPresMinimum,wssStaPresMaximum,wssStaPresVariance,wssStaPresStdErMean,wssStaPresNumPts,staPresQF,wssCorPres,corPresQF
"2018-11-01",101.20198,100.82786,101.56039,0.05179,0.00245,8639.0,0,101.79531,0
"2018-11-02",100.77255,100.53686,101.06869,0.01663,0.00139,8640.0,0,101.36068,0
"2018-11-03",101.50535,100.71748,101.89153,0.12653,0.00383,8640.0,0,102.11415,0
"2018-11-04",101.71925,101.40987,101.95175,0.02827,0.00181,8640.0,0,102.32402,0
"2018-11-05",101.40829,101.22925,101.58046,0.01233,0.00119,8640.0,0,101.99707,0
"2018-11-06",101.25150,101.06869,101.39983,0.00886,0.00101,8640.0,0,101.83713,0
"2018-11-07",101.24058,101.02855,101.43997,0.01111,0.00128,6762.0,1,101.83104,1
"2018-11-08",101.20845,101.03858,101.35969,0.00578,0.00082,8640.0,0,101.79565,0
"2018-11-09",101.20976,100.97838,101.33963,0.01219,0.00119,8640.0,0,101.79694,0
"2018-11-10",101.33876,101.10883,101.58046,0.02456,0.00169,8640.0,0,101.93304,0
"2018-11-11",101.70237,101.58046,101.87147,0.00546,0.00079,8640.0,0,102.30799,0
"2018-11-12",101.50437,101.10883,101.78115,0.04823,0.00236,8640.0,0,102.09754,0
"2018-11-13",101.24657,101.12890,101.37977,0.00436,0.00071,8640.0,0,101.83133,0
"2018-11-14",101.46859,101.25935,101.66074,0.01251,0.00120,8640.0,0,102.06404,0
"2018-11-15",101.17103,100.92820,101.37977,0.01122,0.00114,8640.0,0,101.77513,0
"2018-11-16",101.56845,101.33963,101.84136,0.01418,0.00128,8640.0,0,102.19271,0
"2018-11-17",101.74501,101.59049,101.96178,0.00994,0.00107,8640.0,0,102.36323,0
"2018-11-18",101.68828,101.49014,101.87147,0.01046,0.00110,8640.0,0,102.29378,0
"2018-11-19",101.53746,101.34966,101.70088,0.00942,0.00104,8640.0,0,102.13788,0
"2018-11-20",101.45128,101.32959,101.61056,0.00490,0.00075,8640.0,0,102.05330,0
"2018-11-21",101.70521,101.51022,101.96178,0.01182,0.00121,8053.0,0,102.31715,0
"2018-11-22",101.81433,101.65070,101.99188,0.00755,0.00093,8640.0,0,102.43059,0
"2018-11-23",101.49826,101.13893,101.74101,0.03516,0.00202,8640.0,0,102.10110,0
"2018-11-24",100.70277,100.38634,101.16903,0.05305,0.00248,8640.0,0,101.29490,0
"2018-11-25",100.83520,100.52682,101.08876,0.02939,0.00184,8640.0,0,101.43027,0
"2018-11-26",100.79083,100.56696,101.04862,0.01612,0.00137,8640.0,0,101.38776,0
"2018-11-27",101.03273,100.80780,101.26938,0.01220,0.00119,8640.0,0,101.65081,0
"2018-11-28",101.46510,101.11886,101.70088,0.01692,0.00140,8640.0,0,102.09533,0
"2018-11-29",101.73084,101.53028,101.97182,0.01226,0.00119,8640.0,0,102.35826,0
"2018-11-30",101.68344,101.41990,101.82129,0.01509,0.00133,8477.0,0,102.29964,0
