"uid","namedLocation","domainID","siteID","startCollectDate","endCollectDate","testingID","testingVialID","poolSize","dataQF"
"7bcfbc3a-de71-48da-b98b-286f25db4753","HARV","D01","HARV","2017-05-16T21:20Z","2017-05-18T12:18Z","HARV.2017.20.AEDINT.F.T","HARV.2017.20.AEDINT.F.T.13",47,NA
"d58302e2-a285-4c99-a930-4b25ba93447e","HARV","D01","HARV","2017-05-16T21:20Z","2017-05-18T12:18Z","HARV.2017.20.AEDINT.F.T","HARV.2017.20.AEDINT.F.T.10",47,NA
"74519c1e-6268-4bff-9a18-1ba3c542acd7","HARV","D01","HARV","2017-05-16T21:20Z","2017-05-18T12:18Z","HARV.2017.20.AEDINT.F.T","HARV.2017.20.AEDINT.F.T.07",47,NA
"c5066b03-d357-44f2-91c3-568d24ce983a","HARV","D01","HARV","2017-05-16T21:20Z","2017-05-18T12:18Z","HARV.2017.20.AEDINT.F.T","HARV.2017.20.AEDINT.F.T.04",47,NA
"3a67618b-a985-41b8-8b1b-8bb3718a78d8","HARV","D01","HARV","2017-05-16T21:20Z","2017-05-18T12:18Z","HARV.2017.20.AEDPUN.F.T","HARV.2017.20.AEDPUN.F.T.02",50,NA
"0636dd65-f47a-4e39-9e63-0fb35330a70e","HARV","D01","HARV","2017-05-16T21:20Z","2017-05-18T12:18Z","HARV.2017.20.AEDINT.F.T","HARV.2017.20.AEDINT.F.T.11",47,NA
"962564e1-0fdd-4e97-9567-4c5d2157c0af","HARV","D01","HARV","2017-05-16T21:20Z","2017-05-18T12:18Z","HARV.2017.20.AEDINT.F.T","HARV.2017.20.AEDINT.F.T.02",47,NA
"a05c24d1-957f-495c-8849-bf450c8b83e3","HARV","D01","HARV","2017-05-16T21:20Z","2017-05-18T12:18Z","HARV.2017.20.AEDINT.F.T","HARV.2017.20.AEDINT.F.T.03",47,NA
"ca473016-722a-4fce-b437-a0df532708c3","HARV","D01","HARV","2017-05-16T21:20Z","2017-05-18T12:18Z","HARV.2017.20.AEDPUN.F.T","HARV.2017.20.AEDPUN.F.T.01",50,NA
"c7eb3a0f-a635-410a-9770-026c57130740","HARV","D01","HARV","2017-05-16T21:20Z","2017-05-18T12:18Z","HARV.2017.20.AEDINT.F.T","HARV.2017.20.AEDINT.F.T.08",47,NA
"985db50a-9abb-4742-896d-0622d2d23a15","HARV","D01","HARV","2017-05-16T21:20Z","2017-05-18T12:18Z","HARV.2017.20.AEDPUN.F.T","HARV.2017.20.AEDPUN.F.T.03",50,NA
"f3f775e3-57c7-4368-8c97-a11ae2d38528","HARV","D01","HARV","2017-05-16T21:20Z","2017-05-18T12:18Z","HARV.2017.20.AEDINT.F.T","HARV.2017.20.AEDINT.F.T.06",47,NA
"dba85560-df8d-412f-9df8-8c028ae2f306","HARV","D01","HARV","2017-05-16T21:20Z","2017-05-18T12:18Z","HARV.2017.20.AEDINT.F.T","HARV.2017.20.AEDINT.F.T.05",47,NA
"7324c1d9-7d5b-4f0e-be9f-9ed9ddd4b2d8","HARV","D01","HARV","2017-05-16T21:20Z","2017-05-18T12:18Z","HARV.2017.20.AEDINT.F.T","HARV.2017.20.AEDINT.F.T.14",47,NA
"66987589-415f-4bc0-a502-42ccc2979a77","HARV","D01","HARV","2017-05-16T21:20Z","2017-05-18T12:18Z","HARV.2017.20.AEDINT.F.T","HARV.2017.20.AEDINT.F.T.01",47,NA
"09cdccfa-668f-42ac-87bf-d56249f9e3fb","HARV","D01","HARV","2017-05-16T21:20Z","2017-05-18T12:18Z","HARV.2017.20.AEDINT.F.T","HARV.2017.20.AEDINT.F.T.12",47,NA
"c3ab520e-4a09-41c5-a3fc-d1922dab6eec","HARV","D01","HARV","2017-05-16T21:20Z","2017-05-18T12:18Z","HARV.2017.20.AEDINT.F.T","HARV.2017.20.AEDINT.F.T.09",47,NA
"2f14fca1-4376-4fc6-8e49-251cb0e6e47c","HARV","D01","HARV","2017-05-30T21:28Z","2017-06-01T12:13Z","HARV.2017.22.AEDINT.F.T","HARV.2017.22.AEDINT.F.T.02",47,NA
"cd81ac55-f6ba-43bc-8808-1c611fc8c93b","HARV","D01","HARV","2017-05-30T21:28Z","2017-06-01T12:13Z","HARV.2017.22.AEDINT.F.T","HARV.2017.22.AEDINT.F.T.04",47,NA
"6dd1546b-09e0-4914-8a7d-aaedc643985f","HARV","D01","HARV","2017-05-30T21:28Z","2017-06-01T12:13Z","HARV.2017.22.AEDPUN.F.T","HARV.2017.22.AEDPUN.F.T.01",49,NA
"67422fcd-111d-4ff5-ae4d-5bd3a7d4d8f1","HARV","D01","HARV","2017-05-30T21:28Z","2017-06-01T12:13Z","HARV.2017.22.AEDPUN.F.T","HARV.2017.22.AEDPUN.F.T.15",48,NA
"b886ed61-9213-437c-9537-47f51b105b82","HARV","D01","HARV","2017-05-30T21:28Z","2017-06-01T12:13Z","HARV.2017.22.AEDPUN.F.T","HARV.2017.22.AEDPUN.F.T.16",48,NA
"435e52bb-e511-46f4-b011-8d9b31365c0c","HARV","D01","HARV","2017-05-30T21:28Z","2017-06-01T12:13Z","HARV.2017.22.AEDPUN.F.T","HARV.2017.22.AEDPUN.F.T.11",48,NA
"234e4282-ed5a-4317-a28c-9ee60d79f5f4","HARV","D01","HARV","2017-05-30T21:28Z","2017-06-01T12:13Z","HARV.2017.22.AEDPUN.F.T","HARV.2017.22.AEDPUN.F.T.08",48,NA
