date,wssPrecipTotal,precipQF
"2019-03-01",0.590,0
"2019-03-02",1.020,0
"2019-03-03",0.580,0
"2019-03-04",5.620,0
"2019-03-05",1.080,0
"2019-03-06",1.210,0
"2019-03-07",0.800,0
"2019-03-08",0.970,0
"2019-03-09",0.680,0
"2019-03-10",6.530,0
"2019-03-11",0.440,0
"2019-03-12",0.830,0
"2019-03-13",0.550,0
"2019-03-14",0.610,0
"2019-03-15",0.200,0
"2019-03-16",0.700,0
"2019-03-17",0.720,0
"2019-03-18",0.700,0
"2019-03-19",0.830,0
"2019-03-20",0.860,0
"2019-03-21",0.740,0
"2019-03-22",5.290,0
"2019-03-23",2.580,0
"2019-03-24",0.770,0
"2019-03-25",1.040,1
"2019-03-26",0.110,1
"2019-03-27",1.170,1
"2019-03-28",0.890,0
"2019-03-29",1.280,0
"2019-03-30",0.890,0
"2019-03-31",4.910,0
