uid,namedLocation,plotID,collectDate,identifiedDate,sampleID,subsampleID,scientificName,acceptedTaxonID,taxonRank,family,genus,specificEpithet,sexOrAge,individualCount
a0307715-6fe5-4570-8476-27055bd15a2b,BART_029.tickPlot.tck,BART_029,2018-06-11T18:03Z,2018-11-15T17:00Z,BART_029.20180611,BART_029.20180611.DERVAR.M,Dermacentor variabilis,DERVAR,species,Ixodidae,Dermacentor,variabilis,Male,1
3f8c6879-3be2-493d-bec7-2c48ef70080b,BLAN_012.tickPlot.tck,BLAN_012,2017-03-30T15:47Z,2018-01-30T17:00Z,BLAN_012.20170330,BLAN_012.20170330.IXOSCA.M,Ixodes scapularis,IXOSCA,species,Ixodidae,Ixodes,scapularis,Male,1
8cfc9022-a96e-42ed-87ee-7a55a4b78b19,BLAN_005.tickPlot.tck,BLAN_005,2017-04-18T18:14Z,2018-01-30T17:00Z,BLAN_005.20170418,BLAN_005.20170418.IXOSCA.N,Ixodes scapularis,IXOSCA,species,Ixodidae,Ixodes,scapularis,Nymph,1
5e8e6ef5-1102-42fd-81fa-87d9b7f8ff2b,BLAN_012.tickPlot.tck,BLAN_012,2017-04-18T19:34Z,2018-01-30T17:00Z,BLAN_012.20170418,BLAN_012.20170418.DERVAR.M,Dermacentor variabilis,DERVAR,species,Ixodidae,Dermacentor,variabilis,Male,1
0e1a8090-711b-4b0a-9231-457646bb0249,BLAN_015.tickPlot.tck,BLAN_015,2017-05-08T18:10Z,2018-01-02T17:00Z,BLAN_015.20170508,BLAN_015.20170508.IXOSCA.N,Ixodes scapularis,IXOSCA,species,Ixodidae,Ixodes,scapularis,Nymph,1
710f72c0-bc38-43b1-9363-9f526eaa130d,BLAN_015.tickPlot.tck,BLAN_015,2017-05-08T18:10Z,2018-01-02T17:00Z,BLAN_015.20170508,BLAN_015.20170508.AMBAME.F,Amblyomma americanum,AMBAME,species,Ixodidae,Amblyomma,americanum,Female,1
d4f72c02-90d7-4b82-aa7d-32943344d729,BLAN_005.tickPlot.tck,BLAN_005,2017-05-08T19:12Z,2018-01-30T17:00Z,BLAN_005.20170508,BLAN_005.20170508.IXOSCA.N,Ixodes scapularis,IXOSCA,species,Ixodidae,Ixodes,scapularis,Nymph,25
ebc295f0-4e50-4033-8973-4294594684c7,BLAN_012.tickPlot.tck,BLAN_012,2017-06-01T15:25Z,2018-01-30T17:00Z,BLAN_012.20170601,BLAN_012.20170601.IXOSCA.N,Ixodes scapularis,IXOSCA,species,Ixodidae,Ixodes,scapularis,Nymph,2
8f4e2bfd-0fa8-4b76-8618-1ccbfc4c7ae0,BLAN_015.tickPlot.tck,BLAN_015,2017-06-01T16:49Z,2018-01-02T17:00Z,BLAN_015.20170601,BLAN_015.20170601.IXOSCA.N,Ixodes scapularis,IXOSCA,species,Ixodidae,Ixodes,scapularis,Nymph,1
766813f3-aa33-4d30-a741-9cc5e9a5cb56,BLAN_005.tickPlot.tck,BLAN_005,2017-06-01T17:59Z,2018-01-30T17:00Z,BLAN_005.20170601,BLAN_005.20170601.IXOSCA.N,Ixodes scapularis,IXOSCA,species,Ixodidae,Ixodes,scapularis,Nymph,37
