date,wssTempTripleMean,wssTempTripleMinimum,wssTempTripleMaximum,wssTempTripleVariance,wssTempTripleStdErMean,wssTempTripleNumPts,tempTripleQF
"2018-05-01",8.6186,3.8576,18.4374,26.2845,0.0174,86400.0,0
"2018-05-02",20.6403,13.8718,28.9116,27.4807,0.0178,86400.0,0
"2018-05-03",23.1381,19.3932,27.4754,6.1120,0.0084,86400.0,0
"2018-05-04",20.3706,17.5147,25.2458,5.3245,0.0079,86400.0,0
"2018-05-05",15.5441,8.6660,22.1640,17.3975,0.0142,86400.0,0
"2018-05-06",13.9049,11.4703,18.9713,3.3040,0.0062,86399.0,0
"2018-05-07",13.0196,9.3426,18.8990,11.0221,0.0119,78225.0,0
"2018-05-08",14.6819,8.2967,21.7038,17.2939,0.0141,86400.0,0
"2018-05-09",17.1049,10.6915,23.8820,19.2100,0.0149,86400.0,0
"2018-05-10",12.8469,4.8906,19.8796,18.9488,0.0148,86400.0,0
"2018-05-11",13.7541,9.8112,17.1892,2.9152,0.0058,86400.0,0
"2018-05-12",7.8387,5.2188,13.5852,5.4435,0.0079,86400.0,0
"2018-05-13",8.8742,3.8932,15.7885,17.0512,0.0140,86400.0,0
"2018-05-14",12.9880,8.5772,21.9901,21.7518,0.0159,86400.0,0
"2018-05-15",16.1297,12.8095,25.9077,10.4586,0.0110,86400.0,0
"2018-05-16",13.5104,10.4043,17.5875,2.1962,0.0050,86400.0,0
"2018-05-17",15.5585,11.7691,23.5081,17.8175,0.0144,86400.0,0
"2018-05-18",14.5298,10.6575,19.4142,4.6286,0.0073,86400.0,0
"2018-05-19",8.0617,4.2074,11.5464,4.3479,0.0071,86400.0,0
"2018-05-20",15.2709,9.2374,21.3356,13.4933,0.0125,86400.0,0
"2018-05-21",15.8563,10.0563,22.5422,16.5524,0.0142,81819.0,0
"2018-05-22",16.1369,10.6973,19.9586,4.7170,0.0074,85328.0,0
"2018-05-23",16.0621,10.0961,25.3930,34.4109,0.0200,86400.0,0
"2018-05-24",18.0643,13.0081,22.7364,8.8071,0.0101,86400.0,0
"2018-05-25",19.3388,10.1981,27.5750,34.9966,0.0201,86400.0,0
"2018-05-26",23.1171,18.6886,28.5697,8.5088,0.0099,86400.0,0
"2018-05-27",12.5691,7.6448,24.8663,16.9641,0.0140,86400.0,0
"2018-05-28",10.2900,7.0103,17.5015,14.1171,0.0128,86400.0,0
"2018-05-29",19.3362,12.8569,27.7272,32.0616,0.0193,86400.0,0
"2018-05-30",20.1162,14.4252,25.4097,10.1723,0.0109,86400.0,0
"2018-05-31",18.7076,13.1894,24.4568,12.6561,0.0121,86400.0,0
