date,wssTempTripleMean,wssTempTripleMinimum,wssTempTripleMaximum,wssTempTripleVariance,wssTempTripleStdErMean,wssTempTripleNumPts,tempTripleQF
"2019-05-01",23.5013,19.9433,29.1339,7.1683,0.0099,73830.0,0
"2019-05-02",23.1949,20.4450,28.8005,4.9148,0.0082,73230.0,1
"2019-05-03",23.3333,21.7755,27.7602,2.7043,0.0056,85530.0,0
"2019-05-04",24.7317,21.2729,29.9859,8.3911,0.0102,80880.0,0
"2019-05-05",23.0932,19.8826,27.2509,3.7863,0.0068,82710.0,0
"2019-05-06",24.2361,20.7450,30.0856,10.8998,0.0112,86370.0,0
"2019-05-07",24.9753,21.1457,30.8793,9.5499,0.0108,82469.0,0
"2019-05-08",23.7401,20.2470,29.1276,7.2684,0.0099,74040.0,1
"2019-05-09",23.7493,19.7390,29.3270,10.1275,0.0111,82620.0,0
"2019-05-10",24.9950,20.8276,30.5958,8.7106,0.0102,83910.0,0
"2019-05-11",24.7498,19.8452,31.7046,12.5445,0.0122,84840.0,0
"2019-05-12",25.6444,22.1467,30.9212,6.2241,0.0091,75360.0,0
"2019-05-13",24.3397,21.9838,27.6064,2.1717,0.0051,83610.0,0
"2019-05-14",23.0644,19.4350,27.9309,6.0850,0.0084,86220.0,0
"2019-05-15",22.5472,17.6645,27.9434,8.3711,0.0102,80238.0,0
"2019-05-16",23.3868,19.2222,29.3440,10.6522,0.0112,85500.0,0
"2019-05-17",24.4641,19.5580,30.9490,14.4653,0.0130,86130.0,0
"2019-05-18",24.9774,19.2283,31.2766,12.5370,0.0123,82950.0,0
"2019-05-19",24.4359,18.0201,31.9642,17.9307,0.0144,86160.0,0
"2019-05-20",26.0920,21.3982,32.2823,11.9914,0.0118,85530.0,0
"2019-05-21",27.1483,23.1544,33.4961,10.9216,0.0113,84900.0,0
"2019-05-22",26.5881,22.1601,32.8262,9.4214,0.0109,79050.0,0
"2019-05-23",25.2614,21.2651,31.3545,7.7612,0.0099,79615.0,0
"2019-05-24",25.2106,19.6770,32.7341,17.1946,0.0142,85440.0,0
"2019-05-25",26.3777,20.8142,34.0713,19.0067,0.0152,81960.0,0
"2019-05-26",27.5271,21.2674,35.5844,21.6755,0.0158,86370.0,0
"2019-05-27",28.7909,23.0098,36.6294,15.5595,0.0135,85170.0,0
"2019-05-28",27.6466,23.1539,35.7572,11.8686,0.0120,82890.0,0
"2019-05-29",27.2173,22.1785,35.2943,20.6825,0.0155,85860.0,0
"2019-05-30",27.9152,21.8103,34.5462,16.6902,0.0139,85920.0,0
"2019-05-31",27.2113,23.1549,33.1690,5.6034,0.0081,84540.0,0
