date,wssPrecipTotal,precipQF
"2019-05-01",2.010,0
"2019-05-02",2.800,0
"2019-05-03",10.350,0
"2019-05-04",1.760,0
"2019-05-05",22.070,0
"2019-05-06",2.230,0
"2019-05-07",2.280,0
"2019-05-08",2.100,0
"2019-05-09",2.560,0
"2019-05-10",3.090,0
"2019-05-11",1.610,0
"2019-05-12",2.850,0
"2019-05-13",7.170,0
"2019-05-14",2.390,0
"2019-05-15",2.550,0
"2019-05-16",3.280,0
"2019-05-17",3.360,0
"2019-05-18",2.260,0
"2019-05-19",2.120,0
"2019-05-20",2.690,0
"2019-05-21",3.270,0
"2019-05-22",2.460,0
"2019-05-23",2.630,0
"2019-05-24",2.370,0
"2019-05-25",2.650,0
"2019-05-26",2.300,0
"2019-05-27",2.490,0
"2019-05-28",7.260,0
"2019-05-29",3.210,0
"2019-05-30",3.250,0
"2019-05-31",3.610,0
