date,wssPrecipTotal,precipQF
"2018-06-01",4.730,0
"2018-06-02",2.000,0
"2018-06-03",7.950,0
"2018-06-04",7.240,0
"2018-06-05",1.420,0
"2018-06-06",6.810,0
"2018-06-07",1.400,0
"2018-06-08",1.620,0
"2018-06-09",2.400,0
"2018-06-10",1.930,0
"2018-06-11",3.550,0
"2018-06-12",12.980,0
"2018-06-13",1.240,0
"2018-06-14",1.710,0
"2018-06-15",1.410,0
"2018-06-16",2.470,0
"2018-06-17",1.610,0
"2018-06-18",2.540,0
"2018-06-19",4.880,0
"2018-06-20",9.020,0
"2018-06-21",1.930,0
"2018-06-22",1.140,0
"2018-06-23",1.770,0
"2018-06-24",2.700,0
"2018-06-25",1.450,0
"2018-06-26",1.400,0
"2018-06-27",2.780,0
"2018-06-28",1.420,0
"2018-06-29",3.490,0
"2018-06-30",2.270,0
