date,wssPrecipTotal,precipQF
"2018-04-01",2.050,0
"2018-04-02",7.420,0
"2018-04-03",2.200,0
"2018-04-04",2.550,0
"2018-04-05",3.490,1
"2018-04-06",2.680,0
"2018-04-07",0.560,0
"2018-04-08",2.890,1
"2018-04-09",1.140,0
"2018-04-10",1.850,0
"2018-04-11",2.460,0
"2018-04-12",2.650,0
"2018-04-13",2.480,0
"2018-04-14",2.210,0
"2018-04-15",5.880,0
"2018-04-16",29.930,0
"2018-04-17",2.470,0
"2018-04-18",2.520,0
"2018-04-19",1.600,0
"2018-04-20",4.350,0
"2018-04-21",2.350,0
"2018-04-22",1.420,0
"2018-04-23",1.960,0
"2018-04-24",10.600,0
"2018-04-25",14.000,0
"2018-04-26",2.770,0
"2018-04-27",14.880,0
"2018-04-28",2.060,0
"2018-04-29",4.220,0
"2018-04-30",3.160,0
