date,wssTempTripleMean,wssTempTripleMinimum,wssTempTripleMaximum,wssTempTripleVariance,wssTempTripleStdErMean,wssTempTripleNumPts,tempTripleQF
"2019-03-01",19.2842,16.5331,26.0775,7.4710,0.0094,83700.0,0
"2019-03-02",18.8542,16.5687,24.1282,3.9488,0.0068,85680.0,0
"2019-03-03",20.5324,17.9034,27.5032,8.0431,0.0101,78540.0,0
"2019-03-04",19.0736,16.6687,23.9390,1.9766,0.0050,80550.0,0
"2019-03-05",9.9511,6.8610,16.7664,4.9332,0.0079,79590.0,0
"2019-03-06",7.9726,2.3779,13.2950,9.4960,0.0113,74100.0,1
"2019-03-07",11.0061,5.4091,19.7698,23.0195,0.0164,86040.0,0
"2019-03-08",15.8057,10.3738,23.9316,25.8482,0.0175,84118.0,0
"2019-03-09",20.0623,14.4124,26.4827,15.2498,0.0136,82860.0,0
"2019-03-10",22.6323,18.2884,28.3505,10.2386,0.0111,83460.0,0
"2019-03-11",23.0487,18.4005,28.2464,7.5719,0.0094,85650.0,0
"2019-03-12",20.2209,15.7970,25.3323,4.2819,0.0072,83520.0,0
"2019-03-13",17.5347,13.9978,24.7176,11.8760,0.0131,68940.0,1
"2019-03-14",20.3952,16.4011,27.2372,14.4500,0.0137,76980.0,0
"2019-03-15",21.5685,16.6793,28.8033,16.8339,0.0142,82950.0,0
"2019-03-16",19.4393,15.6525,25.1649,4.0302,0.0069,85740.0,0
"2019-03-17",13.7992,12.4695,15.8925,0.8180,0.0031,85110.0,0
"2019-03-18",14.5269,10.6989,20.1647,8.1622,0.0098,84930.0,0
"2019-03-19",14.6073,11.5702,18.8799,3.5841,0.0065,83790.0,0
"2019-03-20",15.3863,12.4706,21.3221,7.4395,0.0094,83579.0,0
"2019-03-21",15.0343,10.7562,21.5920,10.0603,0.0119,71550.0,1
"2019-03-22",14.2117,8.9586,23.2129,12.3814,0.0137,65768.0,1
"2019-03-23",,,,,,0.0,1
"2019-03-24",,,,,,0.0,1
"2019-03-25",22.5429,16.3421,26.5472,6.8315,0.0147,31819.0,1
"2019-03-26",19.0512,15.2543,25.4206,8.6271,0.0102,82350.0,0
"2019-03-27",15.3467,13.7345,18.2555,0.9396,0.0036,72334.0,1
"2019-03-28",16.1776,12.2215,22.4918,12.0617,0.0121,81960.0,0
"2019-03-29",17.4420,12.4447,24.0932,15.5849,0.0138,82230.0,0
"2019-03-30",19.3973,14.7299,26.6679,17.0148,0.0142,84600.0,0
"2019-03-31",20.6449,15.9329,26.9605,10.1916,0.0115,76980.0,0
