date,wssPrecipTotal,precipQF
"2019-03-01",2.280,0
"2019-03-02",21.230,0
"2019-03-03",1.210,0
"2019-03-04",10.400,0
"2019-03-05",1.990,0
"2019-03-06",2.100,0
"2019-03-07",2.330,0
"2019-03-08",1.940,0
"2019-03-09",2.170,0
"2019-03-10",2.280,0
"2019-03-11",2.530,0
"2019-03-12",1.890,0
"2019-03-13",2.030,0
"2019-03-14",2.580,0
"2019-03-15",3.350,0
"2019-03-16",2.110,0
"2019-03-17",0.970,0
"2019-03-18",2.160,0
"2019-03-19",0.940,0
"2019-03-20",1.460,0
"2019-03-21",1.950,0
"2019-03-22",0.000,1
"2019-03-23",0.000,1
"2019-03-24",0.000,1
"2019-03-25",0.000,1
"2019-03-26",0.000,1
"2019-03-27",0.000,1
"2019-03-28",0.000,1
"2019-03-29",0.000,1
"2019-03-30",0.000,1
"2019-03-31",0.000,1
