date,wssTempTripleMean,wssTempTripleMinimum,wssTempTripleMaximum,wssTempTripleVariance,wssTempTripleStdErMean,wssTempTripleNumPts,tempTripleQF
"2019-07-01",27.3433,23.6186,33.9781,10.0945,0.0109,85020.0,0
"2019-07-02",28.5579,24.7981,34.9923,8.4963,0.0099,86250.0,0
"2019-07-04",27.2937,24.0711,34.7668,6.8962,0.0091,83670.0,0
"2019-07-05",25.3981,22.4801,32.5935,6.4946,0.0088,83820.0,0
"2019-07-06",24.7686,22.5039,30.0138,4.7745,0.0075,85890.0,0
"2019-07-07",25.4159,23.3178,30.9455,4.6835,0.0074,85860.0,0
"2019-07-08",26.5318,22.9377,33.1109,10.3860,0.0110,85530.0,0
"2019-07-09",26.2432,23.6070,32.5903,5.2615,0.0079,85050.0,0
"2019-07-10",26.3741,24.0660,32.0199,4.1993,0.0071,83439.0,0
"2019-07-11",26.6542,23.6099,33.1708,6.3336,0.0087,83820.0,0
"2019-07-12",25.9559,22.8962,32.8613,5.8160,0.0083,84780.0,0
"2019-07-13",26.0547,22.2047,33.0877,15.3496,0.0133,86280.0,0
"2019-07-14",28.9386,24.9849,34.2326,8.3201,0.0098,86400.0,0
"2019-07-15",28.8495,24.7137,34.6237,6.5508,0.0087,85578.0,0
"2019-07-16",28.2682,24.7884,34.8359,7.8270,0.0096,85800.0,0
"2019-07-17",27.0182,23.3285,33.8506,6.8603,0.0090,84570.0,0
"2019-07-19",26.8708,23.9575,32.6990,4.3903,0.0071,86340.0,0
"2019-07-20",26.2131,22.5014,32.6631,8.9168,0.0102,85590.0,0
"2019-07-21",25.8275,21.9474,32.0885,7.0991,0.0091,85860.0,0
"2019-07-22",25.3941,21.9213,32.0621,9.2039,0.0104,85860.0,0
"2019-07-23",25.9349,22.5228,31.2822,6.2848,0.0086,84660.0,0
"2019-07-24",24.4348,21.5229,28.5110,2.8123,0.0057,85440.0,0
"2019-07-25",23.5754,21.7998,27.1739,2.4847,0.0054,84960.0,0
"2019-07-26",24.0654,21.9305,26.3433,1.4400,0.0041,86400.0,0
"2019-07-27",24.9478,22.0193,29.4547,4.4647,0.0072,86310.0,0
"2019-07-28",25.1910,22.6297,29.7745,3.2613,0.0062,85830.0,0
"2019-07-29",25.5128,22.3085,29.7605,6.1719,0.0085,86250.0,0
"2019-07-30",26.6004,22.4604,32.7334,9.2643,0.0104,85380.0,0
"2019-07-31",26.9308,23.8390,32.5692,5.6087,0.0082,84180.0,0
