date,wssPrecipTotal,precipQF
"2019-07-01",1.940,0
"2019-07-02",0.880,0
"2019-07-03",1.410,0
"2019-07-04",0.620,0
"2019-07-05",0.760,0
"2019-07-06",1.140,0
"2019-07-07",1.340,0
"2019-07-08",1.270,0
"2019-07-09",0.740,0
"2019-07-10",0.420,0
"2019-07-11",1.190,0
"2019-07-12",2.530,1
"2019-07-13",1.830,0
"2019-07-14",1.260,0
"2019-07-15",0.700,0
"2019-07-16",0.640,0
"2019-07-17",11.660,0
"2019-07-18",1.240,0
"2019-07-19",0.880,0
"2019-07-20",0.220,0
"2019-07-21",0.770,0
"2019-07-22",22.260,0
"2019-07-23",31.780,0
"2019-07-24",0.860,0
"2019-07-25",1.100,0
"2019-07-26",1.320,0
"2019-07-27",0.840,0
"2019-07-28",1.000,0
"2019-07-29",1.680,0
"2019-07-30",1.270,0
"2019-07-31",0.780,0
