date,wssTempTripleMean,wssTempTripleMinimum,wssTempTripleMaximum,wssTempTripleVariance,wssTempTripleStdErMean,wssTempTripleNumPts,tempTripleQF
"2018-12-01",-0.6573,-2.5061,2.6757,2.2178,0.0051,86400.0,0
"2018-12-02",1.8327,-0.4033,4.8086,3.8634,0.0067,86400.0,0
"2018-12-03",5.2764,2.9795,7.4915,1.7300,0.0045,86400.0,0
"2018-12-04",-1.3363,-5.2200,4.4590,6.0769,0.0089,77545.0,0
"2018-12-05",-5.6779,-8.8653,-2.0390,3.8448,0.0067,86400.0,0
"2018-12-06",-3.2189,-5.8794,-0.4752,2.7428,0.0056,86400.0,0
"2018-12-07",-2.6460,-5.6938,-1.2333,0.9182,0.0033,86400.0,0
"2018-12-08",-8.3307,-11.8788,-4.6950,4.6980,0.0074,86400.0,0
"2018-12-09",-6.1769,-9.0592,-2.1137,5.5014,0.0080,86400.0,0
"2018-12-10",-3.7462,-6.2853,-0.9086,1.9061,0.0047,86398.0,0
"2018-12-11",-5.5181,-9.3331,-1.7417,5.5008,0.0080,86400.0,0
"2018-12-12",-4.3992,-6.3195,-1.8516,1.5416,0.0043,83810.0,0
"2018-12-13",-7.8740,-11.1311,-3.9677,5.4792,0.0080,86400.0,0
"2018-12-14",-1.0362,-5.7060,4.6473,11.2573,0.0114,86400.0,0
"2018-12-15",5.6956,3.2197,9.3438,2.5516,0.0054,86400.0,0
"2018-12-16",0.7412,-0.6647,3.2832,0.6833,0.0028,86400.0,0
"2018-12-17",-0.2487,-1.2443,0.8416,0.2911,0.0018,86400.0,0
"2018-12-18",-5.0283,-8.3622,-0.1295,7.4036,0.0093,86400.0,0
"2018-12-19",-5.8128,-10.3364,1.2252,18.6296,0.0147,86400.0,0
"2018-12-20",0.6270,-2.5753,4.8515,7.0092,0.0090,86400.0,0
"2018-12-21",9.1351,2.4589,15.9035,23.8045,0.0166,86400.0,0
"2018-12-22",6.6456,-1.0537,13.8205,27.5223,0.0178,86400.0,0
"2018-12-23",-2.1886,-4.3447,-0.1021,1.4311,0.0041,86400.0,0
"2018-12-24",-2.7764,-4.4181,-0.0576,1.9474,0.0047,86400.0,0
"2018-12-25",-2.0153,-4.3690,-0.2540,1.0844,0.0035,86400.0,0
"2018-12-26",-4.8867,-8.4999,-0.0945,5.7378,0.0081,86400.0,0
"2018-12-27",-2.8557,-5.9896,-0.9489,1.7871,0.0045,86400.0,0
"2018-12-28",1.6914,-3.1921,10.4709,24.5658,0.0169,86400.0,0
"2018-12-29",6.1507,0.0179,10.4925,11.9385,0.0118,86370.0,0
"2018-12-30",-3.6645,-6.7851,0.0649,4.8042,0.0075,86400.0,0
"2018-12-31",-1.0831,-3.5154,1.7703,3.1410,0.0062,81418.0,0
