"domainID","siteID","horizontalPosition","verticalPosition","date","wssShortRadMean","wssShortRadMinimum","wssShortRadMaximum","wssShortRadVariance","wssShortRadStdErMean","wssShortRadNumPts","shortRadQF"
"D03","OSBS","000","060","2018-01-01",18.79,-1.24,128.64,830.01,0.1,86400,0
"D03","OSBS","000","060","2018-01-02",58.02,-1.12,695.41,8665.02,0.32,86400,0
"D03","OSBS","000","060","2018-01-03",58.11,-1.29,988.17,17468.43,0.45,86400,0
"D03","OSBS","000","060","2018-01-04",170.52,-2.03,671.32,61225.36,0.84,86400,0
"D03","OSBS","000","060","2018-01-05",147.57,-1.97,874.1,48905.61,0.75,86400,0
"D03","OSBS","000","060","2018-01-06",167.53,-2.03,663.58,59560.6,0.83,86400,0
"D03","OSBS","000","060","2018-01-07",160.52,-1.84,733.62,57248.64,0.81,86400,0
"D03","OSBS","000","060","2018-01-08",85.42,-1.83,841.29,21546.07,0.5,86400,0
"D03","OSBS","000","060","2018-01-09",109.69,-1.78,813.68,39897.83,0.68,86400,0
"D03","OSBS","000","060","2018-01-10",49.11,-1.64,574.8,6143.91,0.27,86400,0
"D03","OSBS","000","060","2018-01-11",96.36,-1.84,964.28,26251.78,0.55,86400,0
"D03","OSBS","000","060","2018-01-12",44.84,-2.16,668.07,6116.22,0.27,86400,0
"D03","OSBS","000","060","2018-01-13",93.14,-1.84,935.47,26094.72,0.55,86400,0
"D03","OSBS","000","060","2018-01-14",174.08,-1.84,684.72,62662.13,0.85,86400,0
"D03","OSBS","000","060","2018-01-15",175.46,-1.83,681.33,63345.83,0.86,86400,0
"D03","OSBS","000","060","2018-01-16",162.42,-1.91,691.73,58517.45,0.82,86400,0
"D03","OSBS","000","060","2018-01-17",138.56,-2.38,1015.26,44651.19,0.72,86400,0
"D03","OSBS","000","060","2018-01-18",184.91,-2.24,713.01,69459.9,0.9,86400,0
"D03","OSBS","000","060","2018-01-19",181.31,-2.36,705.6,67311.17,0.88,86400,0
"D03","OSBS","000","060","2018-01-20",107.43,-2.57,807.3,28075.65,0.57,86400,0
"D03","OSBS","000","060","2018-01-21",155.51,-2.6,835.38,57251.58,0.81,86400,0
"D03","OSBS","000","060","2018-01-22",141.97,-2.66,907.69,49886.06,0.76,86400,0
"D03","OSBS","000","060","2018-01-23",83.7,-2.1,755.43,14215.69,0.41,86400,0
"D03","OSBS","000","060","2018-01-24",183.24,-2.27,708.93,68402.4,0.89,86400,0
"D03","OSBS","000","060","2018-01-25",171.13,-1.94,740.86,66138.52,0.87,86400,0
"D03","OSBS","000","060","2018-01-26",124.77,-1.89,918.33,35831.59,0.64,86400,0
"D03","OSBS","000","060","2018-01-27",111.96,-1.87,963.31,32094.86,0.61,86400,0
"D03","OSBS","000","060","2018-01-28",85.32,-1.89,679.1,21646.37,0.5,86400,0
