date,wssPrecipTotal,precipQF
"2019-08-01",0.890,0
"2019-08-02",0.530,0
"2019-08-03",1.770,0
"2019-08-04",1.040,1
"2019-08-05",1.380,0
"2019-08-06",1.640,0
"2019-08-07",4.590,0
"2019-08-08",11.580,0
"2019-08-09",1.090,1
"2019-08-10",1.360,1
"2019-08-11",1.460,0
"2019-08-12",1.080,0
"2019-08-13",1.890,0
"2019-08-14",1.850,0
"2019-08-15",1.290,0
"2019-08-16",1.230,0
"2019-08-17",0.740,0
"2019-08-18",4.370,0
"2019-08-19",1.920,0
"2019-08-20",1.060,0
"2019-08-21",4.710,0
"2019-08-22",1.740,0
"2019-08-23",1.440,0
"2019-08-24",0.770,1
"2019-08-25",0.810,1
"2019-08-26",0.750,0
"2019-08-27",1.150,0
"2019-08-28",7.470,0
"2019-08-29",4.280,0
"2019-08-30",1.290,0
"2019-08-31",1.280,0
