date,wssPrecipTotal,precipQF
"2019-03-01",4.320,0
"2019-03-02",3.710,0
"2019-03-03",3.990,0
"2019-03-04",0.910,0
"2019-03-06",0.150,0
"2019-03-07",0.040,0
"2019-03-08",0.630,0
"2019-03-09",0.000,0
"2019-03-10",2.550,0
"2019-03-11",0.290,0
"2019-03-12",0.120,0
"2019-03-13",0.160,0
"2019-03-14",0.300,0
"2019-03-15",0.410,0
"2019-03-16",0.270,0
"2019-03-17",0.000,0
"2019-03-18",0.100,0
"2019-03-19",0.030,0
"2019-03-20",0.080,0
"2019-03-21",32.230,0
"2019-03-22",1.410,0
"2019-03-23",0.080,0
"2019-03-24",0.080,0
"2019-03-25",0.060,0
"2019-03-26",0.300,0
"2019-03-27",0.000,0
"2019-03-28",0.150,0
"2019-03-29",0.060,0
"2019-03-30",0.360,0
"2019-03-31",0.400,0
