date,wssTempTripleMean,wssTempTripleMinimum,wssTempTripleMaximum,wssTempTripleVariance,wssTempTripleStdErMean,wssTempTripleNumPts,tempTripleQF
"2019-03-01",-0.8293,-2.5075,2.8356,2.5273,0.0054,86400.0,0
"2019-03-02",1.2586,-1.6118,6.4877,8.5091,0.0120,58680.0,1
"2019-03-03",1.4753,-0.8262,5.3706,4.7299,0.0074,86400.0,0
"2019-03-04",-1.3297,-4.0037,1.9539,1.9988,0.0053,72239.0,0
"2019-03-05",-3.4435,-6.2578,1.9190,5.9838,0.0084,85068.0,0
"2019-03-06",-6.6427,-9.8360,-2.5638,4.2159,0.0070,86400.0,0
"2019-03-07",-3.0271,-6.8303,3.0308,11.0645,0.0113,86400.0,0
"2019-03-08",-1.4366,-3.3701,0.7202,0.8445,0.0031,86400.0,0
"2019-03-09",-1.1749,-2.5642,0.6273,1.1090,0.0041,66600.0,1
"2019-03-10",5.5172,0.2413,20.1111,35.0087,0.0201,86400.0,0
"2019-03-11",12.0312,8.0678,19.4773,8.2872,0.0098,86400.0,0
"2019-03-12",5.3222,0.1693,11.2142,10.0703,0.0108,86400.0,0
"2019-03-13",7.0275,2.7525,12.8174,11.2537,0.0114,86400.0,0
"2019-03-14",13.5654,9.0638,21.0303,14.9249,0.0132,86306.0,0
"2019-03-15",18.4028,15.7239,22.5122,3.7910,0.0066,86400.0,0
"2019-03-16",7.4849,2.9998,19.1958,13.3491,0.0124,86400.0,0
"2019-03-17",3.3035,-0.4744,8.9048,7.1364,0.0091,86400.0,0
"2019-03-18",3.3433,-0.1327,6.5135,2.9994,0.0059,86400.0,0
"2019-03-19",3.2514,0.0632,8.3133,5.2763,0.0078,86400.0,0
"2019-03-20",5.3472,1.9355,9.4548,4.3229,0.0071,86400.0,0
"2019-03-21",3.9423,1.5656,7.6603,1.9781,0.0048,86399.0,0
"2019-03-22",4.4189,1.2330,8.8301,2.9447,0.0058,86310.0,0
"2019-03-23",3.3234,-0.2394,9.0913,8.8545,0.0101,86400.0,0
"2019-03-24",9.9312,5.7953,16.2598,12.9262,0.0122,86400.0,0
"2019-03-25",11.6442,5.2915,15.9238,4.8456,0.0075,86400.0,0
"2019-03-26",2.5788,-1.2715,7.1602,4.6701,0.0074,86400.0,0
"2019-03-27",4.1962,-0.2775,9.0509,6.8080,0.0089,86400.0,0
"2019-03-28",6.8987,1.0476,15.3172,23.4133,0.0165,86400.0,0
"2019-03-29",15.2205,12.3517,18.5103,2.7756,0.0057,86400.0,0
"2019-03-30",17.0957,12.9871,22.5204,8.1117,0.0097,85530.0,0
"2019-03-31",12.1433,3.0324,20.2452,27.7522,0.0179,86400.0,0
