date,wssStaPresMean,wssStaPresMinimum,wssStaPresMaximum,wssStaPresVariance,wssStaPresStdErMean,wssStaPresNumPts,staPresQF,wssCorPres,corPresQF
"2018-08-01",97.89145,97.57229,98.08333,0.02939,0.00193,7905.0,0,,1
"2018-08-02",97.76655,97.57229,97.93302,0.00965,0.00106,8640.0,0,,1
"2018-08-03",98.04841,97.92300,98.15347,0.00476,0.00074,8640.0,0,,1
"2018-08-04",97.92129,97.74264,98.09335,0.00996,0.00111,8132.0,0,,1
"2018-08-05",97.98596,97.74264,98.13343,0.00861,0.00100,8640.0,0,,1
"2018-08-06",97.85441,97.62239,98.01318,0.01362,0.00126,8640.0,0,,1
"2018-08-07",97.50256,97.22158,97.73262,0.01906,0.00149,8640.0,0,,1
"2018-08-08",97.28827,96.98110,97.42198,0.01641,0.00138,8640.0,0,,1
"2018-08-09",96.88323,96.76066,97.07128,0.00697,0.00090,8640.0,0,,1
"2018-08-10",97.14886,96.92097,97.32178,0.01199,0.00118,8640.0,0,,1
"2018-08-11",97.54403,97.32178,97.67249,0.00711,0.00091,8640.0,0,,1
"2018-08-12",97.79803,97.59233,97.95306,0.01424,0.00128,8640.0,0,,1
"2018-08-13",97.82608,97.45205,98.03322,0.02997,0.00197,7728.0,0,,1
"2018-08-14",97.27269,96.98110,97.48211,0.01765,0.00143,8640.0,0,,1
"2018-08-15",97.11019,96.98110,97.31177,0.00609,0.00084,8640.0,0,,1
"2018-08-16",97.56057,97.31177,97.76268,0.01513,0.00132,8640.0,0,,1
"2018-08-17",97.77270,97.37189,97.94304,0.03038,0.00192,8277.0,0,,1
"2018-08-18",97.10229,96.92097,97.46206,0.02335,0.00164,8640.0,0,,1
"2018-08-19",97.54563,97.13140,97.93302,0.04672,0.00233,8640.0,0,,1
"2018-08-20",98.06609,97.93302,98.20357,0.00529,0.00078,8640.0,0,,1
"2018-08-21",97.95057,97.53221,98.17351,0.04054,0.00217,8640.0,0,,1
"2018-08-22",96.82991,96.38991,97.55225,0.15232,0.00420,8640.0,0,,1
"2018-08-23",97.14374,96.65043,97.55225,0.06235,0.00269,8640.0,0,,1
"2018-08-24",98.04207,97.55225,98.32381,0.04140,0.00219,8640.0,0,,1
"2018-08-25",98.44665,98.27372,98.60439,0.00784,0.00095,8640.0,0,,1
"2018-08-26",98.03786,97.66247,98.34386,0.05032,0.00241,8640.0,0,,1
"2018-08-27",97.72636,97.64243,97.88292,0.00275,0.00063,6952.0,0,,1
"2018-08-28",97.64311,97.46206,97.74264,0.00862,0.00116,6412.0,1,,1
"2018-08-29",97.48565,97.14481,97.62239,0.02316,0.00187,6618.0,1,101.12699,1
"2018-08-30",97.49308,97.18481,97.90491,0.03964,0.00214,8640.0,0,101.50013,1
"2018-08-31",98.37847,97.90491,98.56500,0.03103,0.00190,8640.0,0,102.51612,0
