date,wssPrecipTotal,precipQF
"2018-02-01",0.000,1
"2018-02-02",0.000,1
"2018-02-03",0.000,1
"2018-02-04",0.000,1
"2018-02-05",0.000,1
"2018-02-06",0.000,1
"2018-02-07",0.000,1
"2018-02-08",0.120,1
"2018-02-09",1.250,0
"2018-02-10",0.900,0
"2018-02-11",1.190,0
"2018-02-12",3.790,0
"2018-02-13",3.640,0
"2018-02-14",0.830,0
"2018-02-15",1.440,0
"2018-02-16",1.040,0
"2018-02-17",1.000,0
"2018-02-18",1.890,0
"2018-02-19",1.190,0
"2018-02-20",1.710,0
"2018-02-21",1.810,0
"2018-02-22",1.580,0
"2018-02-23",1.650,0
"2018-02-24",1.210,0
"2018-02-25",1.340,0
"2018-02-26",2.340,0
"2018-02-27",2.150,0
"2018-02-28",1.930,0
