date,wssTempTripleMean,wssTempTripleMinimum,wssTempTripleMaximum,wssTempTripleVariance,wssTempTripleStdErMean,wssTempTripleNumPts,tempTripleQF
"2018-01-01",-11.1013,-12.8832,-7.5404,2.2173,0.0051,86400.0,0
"2018-01-02",-11.2008,-15.1089,-4.3496,12.7002,0.0121,86400.0,0
"2018-01-03",-5.9386,-9.0565,-3.2127,2.1587,0.0050,86400.0,0
"2018-01-04",-6.9651,-10.9664,-3.5664,3.2705,0.0062,86160.0,0
"2018-01-05",-12.3321,-13.5539,-10.6650,0.6591,0.0028,86400.0,0
"2018-01-06",-12.9211,-15.0635,-10.4514,1.4148,0.0040,86400.0,0
"2018-01-07",-12.1282,-15.8029,-6.1523,10.3535,0.0109,86400.0,0
"2018-01-08",-4.6555,-8.3886,4.1504,10.9217,0.0112,86400.0,0
"2018-01-09",5.3073,3.3206,8.6887,1.4979,0.0042,86400.0,0
"2018-01-10",3.1203,-0.1214,5.8312,3.1488,0.0060,86398.0,0
"2018-01-11",8.4551,3.2611,12.7370,9.5144,0.0105,86400.0,0
"2018-01-12",14.9522,10.7973,18.0398,4.4880,0.0072,86400.0,0
"2018-01-13",1.7539,-7.5327,16.5653,62.6462,0.0269,86400.0,0
"2018-01-14",-9.7681,-12.4121,-6.6917,2.5865,0.0055,86400.0,0
"2018-01-15",-8.9243,-12.8536,-3.2458,8.9419,0.0102,86400.0,0
"2018-01-16",-2.8316,-5.0738,0.6460,3.5129,0.0064,86400.0,0
"2018-01-17",-5.8444,-8.8513,0.3241,6.0030,0.0083,86400.0,0
"2018-01-18",-4.2994,-10.1463,6.2008,33.3694,0.0197,86400.0,0
"2018-01-19",5.5619,1.3881,10.6087,7.3561,0.0092,86398.0,0
"2018-01-20",9.5231,4.9068,15.8556,9.5444,0.0105,86400.0,0
"2018-01-21",12.6189,8.7927,16.2095,3.5655,0.0064,86400.0,0
"2018-01-22",14.0207,11.4732,16.2841,0.9161,0.0033,86400.0,0
"2018-01-23",11.1771,7.3972,14.0858,2.6340,0.0055,86400.0,0
"2018-01-24",3.8207,-0.5881,7.5272,3.9011,0.0070,79123.0,0
"2018-01-25",-1.0730,-2.6678,2.1985,1.6884,0.0044,86400.0,0
"2018-01-26",0.9462,-1.8724,6.6659,9.1334,0.0103,86400.0,0
"2018-01-27",9.0680,4.9641,13.8717,7.1884,0.0091,86400.0,0
"2018-01-28",10.2015,6.3270,14.0118,5.6925,0.0081,86400.0,0
"2018-01-29",4.0083,1.9857,6.4000,1.5717,0.0043,86400.0,0
"2018-01-30",-0.9623,-5.4604,3.9205,10.8082,0.0123,71363.0,0
"2018-01-31",,,,,,0.0,1
