date,wssPrecipTotal,precipQF
"2018-01-01",3.650,1
"2018-01-02",3.680,0
"2018-01-03",3.340,0
"2018-01-04",2.140,0
"2018-01-05",2.560,0
"2018-01-06",3.120,0
"2018-01-07",3.530,0
"2018-01-08",2.320,0
"2018-01-09",1.150,0
"2018-01-10",2.840,0
"2018-01-11",3.060,0
"2018-01-12",25.910,0
"2018-01-13",10.250,1
"2018-01-14",0.660,1
"2018-01-15",1.440,1
"2018-01-16",1.390,1
"2018-01-17",0.820,1
"2018-01-18",2.670,1
"2018-01-19",2.920,1
"2018-01-20",1.580,0
"2018-01-21",1.770,0
"2018-01-22",3.130,0
"2018-01-23",7.790,0
"2018-01-24",1.070,0
"2018-01-25",2.560,1
"2018-01-26",2.870,1
"2018-01-27",3.150,0
"2018-01-28",7.030,0
"2018-01-29",1.420,0
"2018-01-30",2.370,1
"2018-01-31",0.000,1
