HOR.VER,start,end,referenceStart,referenceEnd,xOffset,yOffset,zOffset,pitch,roll,azimuth,referenceLatitude,referenceLongitude,referenceElevation
000.010,2010-01-01 00:00:00.0,,2010-01-01 00:00:00.0,,2.36,6.21,0.27,0.00,0.00,135.00,29.689289,-81.993431,46.03
000.020,2010-01-01 00:00:00.0,,2010-01-01 00:00:00.0,,2.36,6.21,1.80,0.00,0.00,135.00,29.689289,-81.993431,46.03
000.025,2010-01-01 00:00:00.0,,2010-01-01 00:00:00.0,,-0.03,1.71,4.78,0.00,0.00,0.00,29.689289,-81.993431,46.03
000.030,2010-01-01 00:00:00.0,,2010-01-01 00:00:00.0,,2.36,6.22,8.54,0.00,0.00,135.00,29.689289,-81.993431,46.03
000.040,2010-01-01 00:00:00.0,,2010-01-01 00:00:00.0,,2.36,6.22,14.41,0.00,0.00,135.00,29.689289,-81.993431,46.03
000.050,2010-01-01 00:00:00.0,,2010-01-01 00:00:00.0,,2.36,6.22,24.51,0.00,0.00,135.00,29.689289,-81.993431,46.03
000.060,2010-01-01 00:00:00.0,,2010-01-01 00:00:00.0,,5.16,1.89,34.94,0.00,0.00,0.00,29.689289,-81.993431,46.03
900.000,2010-01-01 00:00:00.0,,2010-01-01 00:00:00.0,,0.00,0.00,0.00,0.00,0.00,0.00,29.697538,-81.986284,41.76
