date,wssPrecipTotal,precipQF
"2018-03-01",1.450,0
"2018-03-02",12.970,0
"2018-03-03",1.080,0
"2018-03-04",0.450,0
"2018-03-05",1.610,1
"2018-03-06",1.050,1
"2018-03-07",3.490,0
"2018-03-08",13.200,0
"2018-03-09",1.180,0
"2018-03-10",2.150,1
"2018-03-11",1.380,1
"2018-03-12",0.610,1
"2018-03-13",9.950,0
"2018-03-14",2.090,0
"2018-03-15",1.020,1
"2018-03-16",1.450,1
"2018-03-17",1.600,1
"2018-03-18",1.110,1
"2018-03-19",0.810,0
"2018-03-20",1.370,0
"2018-03-21",1.030,0
"2018-03-22",1.080,0
"2018-03-23",1.000,0
"2018-03-24",0.580,1
"2018-03-25",1.080,1
"2018-03-26",0.800,0
"2018-03-27",0.510,0
"2018-03-28",1.060,0
"2018-03-29",0.430,1
"2018-03-30",0.020,1
"2018-03-31",0.880,0
