date,wssTempTripleMean,wssTempTripleMinimum,wssTempTripleMaximum,wssTempTripleVariance,wssTempTripleStdErMean,wssTempTripleNumPts,tempTripleQF
"2018-07-01",26.8716,23.8547,29.9900,3.0823,0.0060,86400.0,0
"2018-07-02",28.4017,24.8085,31.1363,2.6662,0.0056,86400.0,0
"2018-07-03",26.7095,22.0720,31.3526,7.3971,0.0093,86400.0,0
"2018-07-04",26.4836,20.8633,30.3834,5.4786,0.0080,86400.0,0
"2018-07-05",23.6789,20.0917,29.3290,9.4531,0.0105,85351.0,0
"2018-07-06",25.1556,22.6019,27.4181,1.5072,0.0042,86400.0,0
"2018-07-07",19.6159,14.0475,23.9528,7.1438,0.0091,86400.0,0
"2018-07-08",19.6405,14.5714,24.2676,7.9741,0.0096,86400.0,0
"2018-07-09",22.4015,17.5868,27.7000,7.8610,0.0095,86400.0,0
"2018-07-10",25.4638,21.9607,29.6948,6.1088,0.0088,79187.0,0
"2018-07-11",25.0448,22.1375,27.9900,2.4017,0.0053,86400.0,0
"2018-07-12",22.0335,17.5810,26.6759,8.1887,0.0097,86400.0,0
"2018-07-13",22.6143,19.0033,25.8639,4.9161,0.0075,86400.0,0
"2018-07-14",23.2165,19.5384,27.4673,6.8823,0.0089,86400.0,0
"2018-07-15",25.0521,20.8314,27.6780,1.5167,0.0042,86400.0,0
"2018-07-16",24.5776,21.5361,28.8099,3.3011,0.0062,86400.0,0
"2018-07-17",25.0492,21.4839,26.8429,0.9539,0.0033,86400.0,0
"2018-07-18",21.4570,17.3457,25.5411,5.1095,0.0077,86400.0,0
"2018-07-19",22.0625,15.9684,25.4474,4.6685,0.0074,86400.0,0
"2018-07-20",22.4562,19.0753,24.9879,2.4367,0.0053,86400.0,0
"2018-07-21",19.1484,16.1731,22.9924,3.1325,0.0060,86400.0,0
"2018-07-22",18.2217,14.9119,23.6326,6.4217,0.0086,86400.0,0
"2018-07-23",21.5474,19.9009,24.0212,1.4858,0.0041,86400.0,0
"2018-07-24",22.1005,21.1213,23.0537,0.1407,0.0013,86308.0,0
"2018-07-25",21.4851,20.0557,24.1580,0.8737,0.0032,86400.0,0
"2018-07-26",22.4297,19.7167,27.8372,5.9598,0.0083,86400.0,0
"2018-07-27",24.6355,21.9576,27.9571,1.7215,0.0045,86400.0,0
"2018-07-28",22.7464,20.4768,25.6672,2.5202,0.0054,86400.0,0
"2018-07-29",22.0572,18.9738,25.1978,2.8961,0.0058,86400.0,0
"2018-07-30",20.5917,17.3536,23.4234,2.1448,0.0050,86400.0,0
"2018-07-31",19.9023,18.3464,23.6092,2.6574,0.0055,86400.0,0
