date,wssTempTripleMean,wssTempTripleMinimum,wssTempTripleMaximum,wssTempTripleVariance,wssTempTripleStdErMean,wssTempTripleNumPts,tempTripleQF
"2019-10-01",,,,,,0.0,1
"2019-10-02",,,,,,0.0,1
"2019-10-03",,,,,,0.0,1
"2019-10-04",,,,,,0.0,1
"2019-10-05",,,,,,0.0,1
"2019-10-06",,,,,,0.0,1
"2019-10-07",,,,,,0.0,1
"2019-10-08",,,,,,0.0,1
"2019-10-09",,,,,,0.0,1
"2019-10-10",17.3953,17.3050,17.4697,0.0028,0.0097,30.0,1
"2019-10-11",17.0265,14.0188,17.8977,1.7727,0.0919,210.0,1
"2019-10-12",,,,,,0.0,1
"2019-10-13",,,,,,0.0,1
"2019-10-14",12.3617,12.3390,12.3927,0.0002,0.0029,30.0,1
"2019-10-15",11.6099,11.5146,11.7948,0.0068,0.0150,30.0,1
"2019-10-16",10.8409,10.1749,11.7168,0.1703,0.0020,42330.0,1
"2019-10-17",9.7073,8.5421,12.1615,0.8622,0.0032,86400.0,0
"2019-10-18",9.4234,6.3372,13.5211,4.1757,0.0070,86400.0,0
"2019-10-19",10.1305,6.2916,14.3841,5.3913,0.0079,86400.0,0
"2019-10-20",10.4809,8.8734,13.0544,1.4056,0.0040,86400.0,0
"2019-10-21",11.8649,9.5291,16.7728,5.7669,0.0082,86400.0,0
"2019-10-22",12.1612,10.7199,14.5292,0.9770,0.0034,86400.0,0
"2019-10-23",12.8637,9.1588,16.3635,2.9662,0.0059,86400.0,0
"2019-10-24",13.2116,7.5359,17.6908,5.8498,0.0082,86394.0,0
"2019-10-25",14.7448,10.4071,18.1360,2.9614,0.0059,86400.0,0
"2019-10-26",14.7885,12.9054,16.4651,0.7104,0.0029,86400.0,0
"2019-10-27",16.6679,11.9743,23.0744,14.8644,0.0131,86400.0,0
"2019-10-28",14.4035,9.5580,19.1053,7.9377,0.0096,86400.0,0
"2019-10-29",13.3414,11.5827,16.2577,1.9992,0.0048,86400.0,0
"2019-10-30",13.7888,12.3451,14.9656,0.5958,0.0034,50618.0,1
"2019-10-31",19.7525,17.5637,21.4739,1.2752,0.0060,34906.0,1
