date,wssTempTripleMean,wssTempTripleMinimum,wssTempTripleMaximum,wssTempTripleVariance,wssTempTripleStdErMean,wssTempTripleNumPts,tempTripleQF
"2018-05-01",20.2766,15.5899,27.4382,14.3049,0.0137,75990.0,0
"2018-05-02",20.4752,15.9473,26.7904,11.0616,0.0123,72870.0,1
"2018-05-03",20.8773,15.8112,27.8191,11.6644,0.0125,74609.0,0
"2018-05-04",22.4064,17.2651,29.9045,15.9016,0.0138,83370.0,0
"2018-05-05",21.9263,16.4969,27.5757,10.8019,0.0116,80220.0,0
"2018-05-06",23.8179,19.8000,30.5680,14.3575,0.0129,86010.0,0
"2018-05-07",24.6969,19.2414,30.6879,10.6323,0.0111,86070.0,0
"2018-05-08",23.1978,18.2824,28.7176,10.0685,0.0109,84630.0,0
"2018-05-09",22.2752,17.5022,29.0025,14.3661,0.0132,82890.0,0
"2018-05-10",23.6176,18.5612,31.8456,17.2623,0.0142,86010.0,0
"2018-05-11",25.7756,20.0470,33.3424,18.0995,0.0146,84480.0,0
"2018-05-12",25.3491,21.0117,30.9825,6.1182,0.0087,80429.0,0
"2018-05-13",23.0714,18.6911,27.2499,5.5500,0.0082,83550.0,0
"2018-05-14",21.6834,20.3120,23.9969,0.6363,0.0028,80398.0,0
"2018-05-15",21.6530,19.3172,26.0581,1.3843,0.0042,78660.0,0
"2018-05-16",21.6398,19.0414,27.9639,5.4607,0.0085,75420.0,0
"2018-05-17",22.7348,21.0406,27.4082,2.3746,0.0058,71670.0,1
"2018-05-18",22.4912,20.5888,27.4890,2.9418,0.0061,80370.0,0
"2018-05-19",23.6352,20.7786,29.2961,5.8684,0.0084,82410.0,0
"2018-05-20",21.9317,20.2694,24.1748,0.6374,0.0027,85230.0,0
"2018-05-21",22.2877,21.1369,25.7060,0.7495,0.0033,68400.0,1
"2018-05-22",24.7940,21.1644,28.5441,1.9242,0.0111,15540.0,1
"2018-05-23",24.7208,20.4184,31.0259,12.4920,0.0121,85678.0,0
"2018-05-24",25.2662,22.4173,30.6722,4.7307,0.0076,82920.0,0
"2018-05-25",24.8603,21.7527,30.1944,5.6862,0.0087,75951.0,0
"2018-05-26",24.2781,21.1865,29.0192,5.2441,0.0083,76710.0,0
"2018-05-27",23.0370,21.8174,25.7540,1.3218,0.0051,50970.0,1
"2018-05-28",24.9133,21.0242,30.0707,4.2950,0.0121,29250.0,1
"2018-05-29",24.3906,22.1912,30.0384,4.0939,0.0089,51150.0,1
"2018-05-30",22.9511,22.2885,24.4563,0.2351,0.0017,78210.0,0
"2018-05-31",24.4738,21.8135,30.3040,8.2741,0.0100,83550.0,0
