date,wssTempTripleMean,wssTempTripleMinimum,wssTempTripleMaximum,wssTempTripleVariance,wssTempTripleStdErMean,wssTempTripleNumPts,tempTripleQF
"2018-10-01",24.6465,21.9564,29.5925,2.8043,0.0059,81510.0,0
"2018-10-02",24.5327,22.7098,28.4423,2.2844,0.0052,85530.0,0
"2018-10-03",25.0787,21.7305,30.4776,7.2801,0.0095,80070.0,0
"2018-10-04",25.4184,21.8271,30.7231,7.4349,0.0094,83790.0,0
"2018-10-05",25.4698,21.0974,30.6606,7.5476,0.0094,85620.0,0
"2018-10-06",25.1025,20.8597,30.5936,7.8489,0.0096,84390.0,0
"2018-10-07",25.1155,21.6760,30.9641,7.4042,0.0097,79140.0,0
"2018-10-08",24.5527,22.4926,28.7302,2.4459,0.0056,78630.0,0
"2018-10-09",24.9768,22.9730,28.3899,2.1407,0.0054,72090.0,1
"2018-10-10",26.3095,25.0540,30.0483,1.4088,0.0051,53340.0,1
"2018-10-11",27.7011,25.6717,31.0911,3.3297,0.0073,61950.0,1
"2018-10-12",24.0220,19.7748,28.2056,5.8915,0.0083,85830.0,0
"2018-10-13",22.1801,16.4594,27.8945,12.1625,0.0119,86399.0,0
"2018-10-14",24.0361,18.9372,30.3827,12.9447,0.0123,85560.0,0
"2018-10-15",25.7958,21.6803,32.4093,11.7043,0.0117,86130.0,0
"2018-10-16",27.1122,23.4611,32.7904,8.7962,0.0101,86280.0,0
"2018-10-17",27.3319,23.3414,32.6464,8.8737,0.0101,86310.0,0
"2018-10-18",25.7607,22.8124,30.5068,4.1049,0.0069,85710.0,0
"2018-10-19",24.1617,22.0414,26.8613,2.1352,0.0050,85230.0,0
"2018-10-20",25.5692,21.8864,31.0800,8.0790,0.0097,86220.0,0
"2018-10-21",21.1085,16.7494,26.5817,5.5085,0.0085,75780.0,0
"2018-10-22",17.8019,12.0319,25.6845,20.8933,0.0160,81450.0,0
"2018-10-23",20.3091,17.8514,23.4614,3.1504,0.0060,86400.0,0
"2018-10-24",20.5925,18.2310,25.0168,2.9398,0.0061,80113.0,0
"2018-10-25",19.5628,17.1528,24.4573,4.1658,0.0070,84537.0,0
"2018-10-26",22.0403,19.4498,26.7407,4.0347,0.0073,75720.0,0
"2018-10-27",17.4519,14.0268,22.3515,3.9541,0.0072,76860.0,0
"2018-10-28",16.3643,11.5186,22.5310,12.5917,0.0121,85320.0,0
"2018-10-29",19.6007,14.1244,27.2531,21.1030,0.0158,84270.0,0
"2018-10-30",20.5916,14.7133,26.3495,11.3747,0.0115,86310.0,0
"2018-10-31",20.8673,16.7209,26.8641,10.9075,0.0113,84870.0,0
