date,wssPrecipTotal,precipQF
"2019-04-01",1.750,1
"2019-04-02",1.100,0
"2019-04-03",1.360,0
"2019-04-04",1.660,1
"2019-04-05",0.790,0
"2019-04-06",2.740,0
"2019-04-07",0.870,0
"2019-04-08",9.860,0
"2019-04-09",3.190,0
"2019-04-10",1.340,1
"2019-04-11",0.510,1
"2019-04-12",0.620,0
"2019-04-13",16.120,0
"2019-04-14",1.220,0
"2019-04-15",16.310,0
"2019-04-16",1.210,1
"2019-04-17",0.800,1
"2019-04-18",0.970,0
"2019-04-19",1.060,0
"2019-04-20",27.740,0
"2019-04-21",2.650,0
"2019-04-22",13.000,0
"2019-04-23",6.120,0
"2019-04-24",5.940,1
"2019-04-25",1.300,0
"2019-04-26",12.950,0
"2019-04-27",24.860,0
"2019-04-28",1.380,1
"2019-04-29",1.100,1
"2019-04-30",3.080,0
