date,wssPrecipTotal,precipQF
"2018-08-01",10.330,0
"2018-08-02",19.060,0
"2018-08-03",8.200,0
"2018-08-04",5.650,0
"2018-08-05",0.160,0
"2018-08-06",0.230,0
"2018-08-07",1.530,0
"2018-08-08",10.340,0
"2018-08-09",1.470,0
"2018-08-10",0.240,0
"2018-08-11",2.120,0
"2018-08-12",12.970,0
"2018-08-13",0.310,0
"2018-08-14",0.360,0
"2018-08-15",0.370,0
"2018-08-16",0.270,0
"2018-08-17",4.360,0
"2018-08-18",15.620,0
"2018-08-19",0.210,0
"2018-08-21",32.730,0
"2018-08-22",4.060,0
"2018-08-23",0.050,0
"2018-08-24",0.090,0
"2018-08-25",0.290,0
"2018-08-26",0.270,0
"2018-08-27",0.380,0
"2018-08-28",0.230,0
"2018-08-29",0.320,0
"2018-08-30",0.220,0
