date,wssPrecipTotal,precipQF
"2018-07-01",3.310,0
"2018-07-02",1.440,0
"2018-07-03",3.540,0
"2018-07-04",7.790,0
"2018-07-05",1.720,0
"2018-07-06",1.010,0
"2018-07-07",3.190,0
"2018-07-08",1.290,0
"2018-07-09",2.230,0
"2018-07-10",0.770,0
"2018-07-11",1.650,0
"2018-07-12",2.700,0
"2018-07-13",4.070,0
"2018-07-14",4.280,0
"2018-07-15",1.610,0
"2018-07-16",1.440,0
"2018-07-17",1.870,0
"2018-07-18",3.190,0
"2018-07-19",1.270,0
"2018-07-20",2.640,0
"2018-07-21",0.340,0
"2018-07-22",15.510,0
"2018-07-23",11.330,0
"2018-07-24",1.490,0
"2018-07-25",0.570,0
"2018-07-26",0.750,0
"2018-07-27",0.470,0
"2018-07-28",0.420,0
"2018-07-29",0.590,0
"2018-07-30",6.480,0
"2018-07-31",0.660,0
