date,wssTempTripleMean,wssTempTripleMinimum,wssTempTripleMaximum,wssTempTripleVariance,wssTempTripleStdErMean,wssTempTripleNumPts,tempTripleQF
"2018-09-01",,,,,,0.0,1
"2018-09-02",,,,,,0.0,1
"2018-09-03",,,,,,0.0,1
"2018-09-04",,,,,,0.0,1
"2018-09-05",28.2260,25.0540,29.6579,1.2007,0.0056,38462.0,1
"2018-09-06",27.0715,23.0083,30.4056,3.0105,0.0059,86128.0,0
"2018-09-07",22.6337,19.4478,25.9621,2.5427,0.0054,86400.0,0
"2018-09-08",17.5017,13.0307,20.3401,6.8931,0.0089,86400.0,0
"2018-09-09",12.8032,11.3152,14.6416,1.1127,0.0036,86400.0,0
"2018-09-10",15.6824,13.8610,18.6032,2.3514,0.0052,86399.0,0
"2018-09-11",17.3728,16.4567,19.6159,0.1925,0.0015,86400.0,0
"2018-09-12",18.3077,17.2840,20.6177,1.3147,0.0039,86395.0,0
"2018-09-13",21.1352,19.7730,23.8179,1.0790,0.0035,86397.0,0
"2018-09-14",20.8567,20.0686,21.8988,0.2728,0.0018,86400.0,0
"2018-09-15",20.4627,19.1773,22.5788,0.8244,0.0031,86400.0,0
"2018-09-16",20.1101,17.6766,23.0606,1.9513,0.0048,86400.0,0
"2018-09-17",21.6095,20.6921,23.1271,0.3665,0.0021,86400.0,0
"2018-09-18",22.3539,19.3478,25.1360,1.5896,0.0043,86340.0,0
"2018-09-19",23.0161,20.3589,26.1405,2.5597,0.0054,86340.0,0
"2018-09-20",21.7460,16.9650,24.6895,5.0707,0.0077,86400.0,0
"2018-09-21",19.7430,17.4599,22.9347,2.7361,0.0056,86310.0,0
"2018-09-22",20.2374,15.8295,25.0566,7.2673,0.0092,86400.0,0
"2018-09-23",13.3280,11.8181,16.5724,1.1609,0.0037,86400.0,0
"2018-09-24",14.9101,13.5906,16.9021,1.1557,0.0037,86400.0,0
"2018-09-25",17.9310,15.4792,21.3969,4.0436,0.0068,86387.0,0
"2018-09-26",22.0806,20.1338,25.7052,1.8959,0.0047,86400.0,0
"2018-09-27",15.2353,11.3539,22.1060,9.8017,0.0107,86400.0,0
"2018-09-28",14.8561,11.1897,22.3214,16.8414,0.0140,86400.0,0
"2018-09-29",18.3255,14.9789,21.6165,3.1840,0.0061,86400.0,0
"2018-09-30",16.9380,13.7443,20.3462,3.6236,0.0065,86400.0,0
