date,wssTempTripleMean,wssTempTripleMinimum,wssTempTripleMaximum,wssTempTripleVariance,wssTempTripleStdErMean,wssTempTripleNumPts,tempTripleQF
"2019-01-01",21.8218,17.6984,26.4404,6.9936,0.0090,86370.0,0
"2019-01-02",21.3332,17.0241,25.4139,6.7718,0.0089,86398.0,0
"2019-01-03",21.0683,17.7573,25.6220,6.3862,0.0089,81390.0,0
"2019-01-04",19.8452,14.5476,25.5451,4.7717,0.0084,67590.0,1
"2019-01-05",13.3281,10.5016,15.5123,1.8961,0.0050,74400.0,1
"2019-01-06",12.7337,8.7543,19.7558,14.7569,0.0131,86400.0,0
"2019-01-07",16.1094,11.4588,22.9390,18.1470,0.0145,86190.0,0
"2019-01-08",18.0976,14.0534,22.6680,6.2749,0.0086,85320.0,0
"2019-01-09",15.1299,12.8927,18.9048,1.5185,0.0044,78090.0,0
"2019-01-10",8.9012,4.2233,13.1876,6.9298,0.0093,79710.0,0
"2019-01-11",9.6851,4.8739,18.2288,19.2943,0.0152,83730.0,0
"2019-01-12",14.4721,9.3304,21.9831,21.6044,0.0165,79800.0,0
"2019-01-13",18.3947,14.8976,23.8494,5.9888,0.0087,78510.0,0
"2019-01-14",12.7743,10.3099,19.9439,5.3901,0.0079,85350.0,0
"2019-01-15",8.8824,7.7129,10.6706,0.6741,0.0028,85142.0,0
"2019-01-16",8.0941,4.1488,14.5462,10.6709,0.0112,84851.0,0
"2019-01-17",12.0506,6.6017,19.1393,17.7514,0.0143,86400.0,0
"2019-01-18",15.6276,9.7990,21.9965,16.2790,0.0137,86399.0,0
"2019-01-19",17.2766,12.5422,24.1965,14.4219,0.0138,75240.0,0
"2019-01-20",13.5546,6.2785,21.9013,18.4848,0.0189,51720.0,1
"2019-01-21",5.4624,1.2388,12.1001,10.0576,0.0109,84480.0,0
"2019-01-22",10.2892,4.8414,21.2649,31.6843,0.0209,72630.0,1
"2019-01-23",16.8530,13.4181,24.3062,9.8030,0.0119,69210.0,1
"2019-01-24",18.4005,13.4137,21.3708,3.9334,0.0100,39600.0,1
"2019-01-25",8.7177,3.0257,14.1835,13.0475,0.0125,83220.0,0
"2019-01-26",9.5628,5.9854,14.5268,5.8276,0.0082,86250.0,0
"2019-01-27",8.0244,6.1409,10.7090,0.7439,0.0033,68460.0,1
"2019-01-28",8.9321,5.2108,13.9478,10.6669,0.0130,63300.0,1
"2019-01-29",11.0212,5.2269,16.9085,10.7881,0.0112,85648.0,0
"2019-01-30",7.4283,1.8564,12.6231,7.7052,0.0100,77255.0,0
"2019-01-31",6.7150,2.1800,14.7756,16.7824,0.0141,84930.0,0
