date,wssPrecipTotal,precipQF
"2019-04-01",0.160,0
"2019-04-02",0.150,0
"2019-04-03",0.170,0
"2019-04-04",0.120,0
"2019-04-05",2.180,0
"2019-04-06",0.080,0
"2019-04-07",0.390,0
"2019-04-08",1.070,0
"2019-04-09",0.480,0
"2019-04-10",0.120,0
"2019-04-11",0.260,0
"2019-04-12",3.510,0
"2019-04-13",4.480,0
"2019-04-14",18.500,0
"2019-04-15",1.290,0
"2019-04-16",0.080,0
"2019-04-17",0.340,0
"2019-04-18",0.320,0
"2019-04-19",25.610,0
"2019-04-20",1.680,0
"2019-04-21",0.160,0
"2019-04-22",0.400,0
"2019-04-23",0.320,0
"2019-04-24",0.340,0
"2019-04-25",0.320,0
"2019-04-26",5.530,0
"2019-04-27",0.200,0
"2019-04-28",2.480,0
"2019-04-29",0.260,0
"2019-04-30",0.100,0
