"","siteID","testResult","testPathogenName","taxonID","finalResult"
"1","HARV","Negative","Alphavirus sp.","ALPHV","Y"
"2","HARV","Negative","Orthobunyavirus sp.","BUNV1","Y"
"3","HARV","Negative","Flavivirus sp.","FLAV1","Y"
"4","BLAN","Negative","Alphavirus sp.","ALPHV","Y"
"5","BLAN","Negative","Flavivirus sp.","FLAV1","Y"
"6","BLAN","Negative","Orthobunyavirus sp.","BUNV1","Y"
"7","OSBS","Negative","Alphavirus sp.","ALPHV","Y"
"8","OSBS","Negative","Flavivirus sp.","FLAV1","Y"
"9","OSBS","Negative","Orthobunyavirus sp.","BUNV1","Y"
"10","OSBS","Positive","Flavivirus sp.","FLAV1","Y"
"11","OSBS","Negative","Japanese encephalitis virus","JBEV","Y"
"12","OSBS","Negative","St. Louis encephalitis virus","SLEV","Y"
"13","OSBS","Negative","Zika virus","ZIKAV","Y"
"14","OSBS","Negative","West Nile virus","WNV","Y"
"15","OSBS","Negative","Dengue virus","DENV","Y"
"16","OSBS","Negative","Yellow fever virus","YFV","Y"
"17","OSBS","Negative","Cowbone Ridge virus","CRV","Y"
