"","month","siteID","wssTempTripleMean","wssTempTripleMinimum","wssTempTripleMaximum","wssPrecipTotal","wssWindSpeedMean","wssRHMean","wssRHMinimum","wssRHMaximum","wssShortRadMean","wssShortRadMinimum","wssShortRadMaximum"
"1","Jan","HARV",-4.42164719101124,-7.72167303370786,-0.495477528089888,3.45409836065574,1.24349358974359,70.1662921348315,50.4889887640449,86.7858426966292,70.2288172043011,-1.42139784946237,460.112365591398
"2","Jan","OSBS",11.9680838709677,7.73625806451613,17.7956580645161,3.00475409836066,1.21684210526316,69.5617741935484,45.4646774193548,88.1733870967742,133.080806451613,-2.08983870967742,801.1
"3","Jan","SCBI",-0.0821862068965518,-3.50426896551724,4.41816034482759,2.06935483870968,1.87481355932203,59.5903278688525,42.3326229508197,77.7216393442623,84.8705454545455,-1.68290909090909,559.953818181818
"4","Feb","HARV",-1.63848441558442,-5.2179051948052,3.24703376623377,1.62076923076923,1.21873913043478,65.2546296296296,37.7948148148148,85.3403703703704,102.91552238806,-1.52791044776119,634.700597014925
"5","Feb","OSBS",18.6978017857143,14.8420410714286,24.6957303571429,1.80446428571429,1.09551094890511,77.6778571428571,51.4801785714286,94.92875,146.118035714286,-1.98607142857143,924.511428571429
"6","Feb","SCBI",5.10161,1.281318,10.416724,2.34678571428571,1.69114537444934,65.4321568627451,43.6782352941176,83.2098039215686,109.118235294118,-1.73392156862745,598.834705882353
"7","Mar","HARV",-1.42895074626866,-4.58794328358209,2.85175223880597,1.23565217391304,1.32137096774194,60.5496551724138,36.2094827586207,79.5962068965517,145.415454545455,-1.52893939393939,822.806363636364
"8","Mar","OSBS",16.7856333333333,12.2261666666667,23.0688466666667,2.29354838709677,1.26135849056604,62.9466666666667,34.676,86.593,219.273333333333,-2.1325,1069.43
"9","Mar","SCBI",4.06751967213115,0.370683606557377,9.23987704918033,2.676,1.75152985074627,54.3254098360656,34.1749180327869,73.4201639344262,166.566393442623,-1.74180327868852,838.071803278689
"10","Apr","HARV",4.83694,1.1454575,9.8277325,3.46433333333333,1.07875,70.2184848484848,45.1467647058824,89.7011764705882,172.141408450704,-1.5512676056338,934.831971830986
"11","Apr","OSBS",20.175525,15.8123483333333,26.4295383333333,5.3415,1.09055350553506,70.8284745762712,42.5915254237288,92.5522033898305,246.294,-2.12266666666667,1135.63716666667
"12","Apr","SCBI",8.97544242424242,4.69358787878788,14.8956848484848,3.53166666666667,1.79196296296296,55.808,34.0516666666667,74.992,201.0375,-1.85716666666667,1050.83183333333
"13","May","HARV",13.1740682539683,8.90419523809524,19.0970841269841,2.33223529411765,0.779436090225564,71.3435294117647,44.0291176470588,93.2835294117647,208.714933333333,-1.6492,1030.78586666667
"14","May","OSBS",24.1879306451613,20.3060903225806,29.9101370967742,4.69709677419355,0.82336917562724,73.5213461538462,46.3019230769231,93.3963461538462,248.576129032258,-2.20709677419355,1161.62096774194
