date,wssTempTripleMean,wssTempTripleMinimum,wssTempTripleMaximum,wssTempTripleVariance,wssTempTripleStdErMean,wssTempTripleNumPts,tempTripleQF
"2019-08-01",24.8606,22.1847,31.0767,3.9925,0.0069,84524.0,0
"2019-08-02",24.7335,23.0839,27.9827,1.2897,0.0039,85169.0,0
"2019-08-03",26.2383,22.7289,32.0838,9.1148,0.0103,86400.0,0
"2019-08-04",27.8634,23.8718,32.7341,7.9785,0.0096,86220.0,0
"2019-08-05",27.3918,24.0245,31.9755,4.8984,0.0076,85470.0,0
"2019-08-06",26.8222,23.8990,31.5159,5.3332,0.0079,85919.0,0
"2019-08-07",25.3675,23.5606,28.6058,2.1505,0.0050,86220.0,0
"2019-08-09",27.8924,24.7260,34.3279,8.5910,0.0101,84510.0,0
"2019-08-10",28.8299,25.7105,35.0577,8.5374,0.0100,85170.0,0
"2019-08-11",28.3229,23.9240,34.5470,8.4280,0.0099,85680.0,0
"2019-08-12",26.7974,23.2620,33.9263,12.0007,0.0118,85560.0,0
"2019-08-13",27.4059,24.1579,33.9797,11.6141,0.0116,86310.0,0
"2019-08-14",27.7336,24.6325,32.8272,5.7233,0.0082,84215.0,0
"2019-08-16",24.3602,23.4223,25.5052,0.4308,0.0024,77580.0,0
"2019-08-17",23.4795,21.8922,25.1095,0.2819,0.0019,79410.0,0
"2019-08-18",24.0676,22.1836,27.5089,1.4178,0.0041,84330.0,0
"2019-08-19",25.2917,22.3611,30.5757,6.1175,0.0084,86130.0,0
"2019-08-20",26.1602,22.8894,32.2966,6.3075,0.0086,85590.0,0
"2019-08-21",26.7195,23.6185,32.6399,7.5335,0.0094,86040.0,0
"2019-08-22",27.5131,24.2180,33.0014,7.3473,0.0093,85500.0,0
"2019-08-23",27.6127,23.7810,33.1977,7.8983,0.0096,85440.0,0
"2019-08-24",27.4689,23.8443,33.5804,8.1350,0.0098,85410.0,0
"2019-08-25",26.6212,24.1879,31.5045,2.8320,0.0058,85560.0,0
"2019-08-26",26.2774,21.7706,32.2575,7.7694,0.0095,85260.0,0
"2019-08-27",25.1908,22.1965,32.1087,7.2679,0.0092,85800.0,0
"2019-08-28",26.4905,23.3575,31.5147,7.1053,0.0091,86370.0,0
"2019-08-29",27.9043,24.2321,32.8832,7.3768,0.0093,85830.0,0
"2019-08-30",25.2741,23.0080,30.0188,2.2631,0.0051,85950.0,0
"2019-08-31",26.9659,23.6308,32.0345,6.7217,0.0090,83880.0,0
